Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
1148457,Unpredictable code generation!,api,2025-03-21 04:41:15.972000+00:00,2025-03-21 06:20:36.296000+00:00,83,3,2,unpredictable code generation writing code generation tool tool generate java code tried use omini gpto also deepseek deepseek model predictable produce wrong code easy fix prompt understand never produce wrong code deepseek great downside slow tried speed struggling produce correct code time produce uncompiled code like missing import missing quotation unpredictable fix prompt work run exact prompt get old error ie missing import call using raw http call java application top_p temperature message rolesystemcontentyou advanced n roleusercontentchange category product drop list physical digital modelgpto missing,3,4
1148153,Software creation Chatgpt + Railway + Github,chatgpt,2025-03-20 18:48:01.658000+00:00,2025-03-20 18:48:01.711000+00:00,64,1,1,software creation railway github anyone available hire help creation software using railway github platform,3,4
1147614,I cant get chatgpt (or any llm) to actually contribute beyond examples,chatgpt,2025-03-20 04:43:45.892000+00:00,2025-03-20 06:04:48.026000+00:00,97,2,2,cant get llm actually contribute beyond example sharing thoughtsfrustrations hoping see feedback get people experience hopefully solution point noticed llm extremely laissezfaire prevents actually useful assistant let explain believe algorithmic code producing capability tool likely better least people problem dont seem grasp idea necessarily using fun learning believe people trying achieve real world benefit using example large project building easily develop practical architecture development plan llm want algorithm specific function created bug fixed however big problem defining specific large project actually trying build given llm extremely detailed mockups architecture database schema project flow action service etc instruct want actually build real world code capable always something like example might achieve even though informed supposed actually work project concept something like create class say code pretty frustrating even giving page detailed documentation project spec basically yet make understand isnt tutorial something fun actually want build something even take long time lot step bigger issue come finally getting produce production code chat get long freeze instruction anyone similar experience tip thanks,3,4
1113326,Automating for mundane tasks,"chatgpt, gpt-4, ocr, programming",2025-02-05 14:33:55.971000+00:00,2025-03-19 23:08:51.866000+00:00,444,17,5,automating mundane task noticed getting increasingly frustrated automated mundane task performed consistently like telling paint can red first can red reason decides paint th yellow encountering problem eg ocr large number similar file also coding task mini work little bit better trying optimise prompt write also get optimise prompt try force avoid making mistake since painted first can red sure task point sure time invest worth monthly subscription fee feel bit hefty betatesting honest background reading achieve consistency result task ocr coding better prompting,3,4
1145887,Optimized GPT System Instruction Guidelines (Custom GPT System Prompts),"prompt-engineering, fine-tuning-problems, custom-gpts, instructgpt, custom-insteuctions",2025-03-18 06:29:24.953000+00:00,2025-03-18 06:29:25.044000+00:00,172,1,1,optimized system instruction guideline custom system prompt optimized system prompt guideline perfected version prioritization amp retention execution explanation follows direct taskdriven instruction better vague description avoid theoretical explanation direct command sufficient critical rule first amp last prioritizes initial final instruction often forgetting middle detail long conversation structure theory stepbystep formatting significantly improves adherence deprioritizes background detail actiondriven language use must always never prohibit enforce instead weak phrasing like consider try strategic reinforcement occasionally rephrase key rule different section improve recall without excessive repetition system prompt user prompt system prompt hold greater weight user input degrade prolonged session periodically reintroduce key rule followup token efficiency amp clarity short structured precise compress wordy prompt vague summary keep concise explicit limit overly long list long bulletpoint list often compressed broad generalization instead group related point phase section openended instruction avoid phrase like provide insight explain without clear scope instead specify depth format length use priority marker reinforce critical instruction strong marker like always must skip bracketed tag context responds well labeled section eg rule example error handling prevents instruction blending ensures structured output token limit amp compression risk token longer prompt risk instruction loss test optimal retention memory amp adherence positional weighting matter instruction middle weaker first last prioritize essential rule early late preexecution gt postexecution pretask instruction higher retention correction given response periodic key goal restatement long interaction deprioritizes userspecific goal repeat critical instruction every exchange slightly different wording use template consistency structured template reinforce formatting memory reducing response drift reference prior context improve adherence example use research step step prevents treating isolated step avoid conflicting directive example concise v explain full detail cause average two leading inconsistent output ensure directive clarity formatting amp structure strategy use bullet point amp numbered list improves instruction retention dense paragraph break complex instruction instead long sentence split key step separate clear directive anchor instruction known keywords retains rule tied structure readability seo specific formatting missioncritical rule must first prioritizes early instruction trim least critical necessary error handling amp risk mitigation explicit hallucination prevention use strong constraint like never assume information respond based provided data failsafes conflicting instruction complex logic add conditional logic true x otherwise clarify uncertainty handling example unsure ask clarification rather guessing contradiction prevention later instruction overwrite earlier one keep directive messaging consistent test response periodically critical error persist retest prompt identify instruction deprioritizing balance amp tradeoff avoid overcompression overoptimizing strip necessary detail find balance concise explicit test different token length adjust prompt size maximum retention without truncation cognitive load amp compression risk dense summarize omit detail use logical chunking clarity consider modelspecific difference follows complex rule better still benefit concise phrasing reinforcement technique,3,4
1135923,Memory don't work ! Keep saying words despite i I said to not use them,gpt-4,2025-03-05 11:26:17.587000+00:00,2025-03-05 21:03:01.073000+00:00,119,3,3,memory dont work keep saying word despite said use said add memory time use certain word keep saying finally memory useless,3,4
1131849,What methods do people generally use to build Agents? Do they use the OpenAI library or other approaches?,"assistants-api, agents",2025-02-28 07:54:40.524000+00:00,2025-02-28 20:08:03.909000+00:00,166,2,2,method people generally use build agent use library approach 目前已经出现了像langchainautogen等快速开发agent的库书写上也比较简单使用这些库我们在开发agent时似乎很少会关注到cottotreact的提示技巧是不是我们真的没必要关注这些呢请问大佬们有没有一些建议给到小白们十分感谢你们毫不吝啬的建议 translated present library langchain autogen emerged rapid agent development relatively straightforward use utilizing library seems seldom pay attention prompt technique like cot tot react truly unnecessary u focus expert advice beginner immensely grateful generous suggestion,3,4
958684,"My biggest pain point with GPT coding: outdated libraries, apis, docs",gpt-4,2024-09-27 10:25:06.839000+00:00,2025-02-28 15:16:27.797000+00:00,541,10,5,biggest pain point coding outdated library apis doc biggest pain point using coding often us date sometimes made parametersendpoints apis method library often hard correct best technique getting stop good technique feeding documentation anybody found good article info,3,4
1128183,How to ensure the stability of function calling in complex tasks?,function-calling,2025-02-24 08:27:42.611000+00:00,2025-02-24 08:27:42.670000+00:00,55,1,1,ensure stability function calling complex task requirement relatively complex task includes function tool find tool often called even simple problem may system prompt complex token read official optimization document sure whether solve problem task indeed complex token prompt cannot reduced multiple agent used worried latency increase current idea two solution use cot optimize prompt put function tool first step identification provide prompt specifically call tool two channel concurrent tool directly execute next step use result returned channel wonder reasonable solution tool require input function parameter directly changed context instead using function example tool get address company information fixed use contextual rather functional tool,3,4
1123254,"Looking for assistance with writing project, mainly to optimize memory making","chatgpt, gpt-4, writing",2025-02-18 01:47:53.258000+00:00,2025-02-21 02:05:46.698000+00:00,131,2,2,looking assistance writing project mainly optimize memory making ill preface saying never really used sprung start year pro kind get want bit like herding cat hoping see efficient way optimize work process main goal basically use first repository knowledge story setting character etc done help springboard idea going forward frame reference term setting let pretend example something akin custom dnd campaign main issue wondering best way use memory effectively also set future use term throwing idea back forth handful issue question friend dabbles using hoping might better luck asking people presume use u using record bit confused concept project basically folder tried one point trying tell image refers certain character exists project file named example characterpng unable locate file asked bring see able refer character appearance based image read memory character appearance file called characterpng prompt based image characterpng found file character look like failing find image question despite existing heard recently update kind kneecapped o ability make memory sort noticed would well taking detailed note way hoping would would lack better term become lazy add wrong information data despite hoverover added memory blurb saying hoped would added ex let pretend there character called smith life place called earth despite previous prompt several hundred word accurately added memory note format time smith description also several hundred word added memory smith person life aerth despite hoverover added memory tab detailed set note based written seemingly added memory similarly answer well initially gave handful trait seemed work would usual praising setting would kind bring thoughtprovoking question based new information ie gave info character later gave info character b sister character c work character asked would like explore possible interaction character c however certain point stopped asking question dont know thats update changed something relating back project whatever reason whenever added memory hoverover appear side clicking go blank list memory instead go setting gt personalization gt memory memory correctly bug weird quirk memory using project project separate memory let say multiple set god let pretend sake argument use greek god obvious different hierarchy god say group including zeus hades poseidon group containing are hephaestus aphrodite etc example would better describe god individual prompt ie one prompt god set ie one prompt describing character zeus poseidon hades another prompt describing character are et al additionally visual representation character would better image attached god question ask add appearance memory based image separate prompt describe character detail add prompt without image basically though main hope sort promptscustomizations make accurately organize note thank help resource advice help,3,4
