Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
1133617,42 or 4? maybe a new chapter? maybe a jump?,chatgpt,2025-03-02 16:12:16.570000+00:00,2025-03-02 16:12:16.643000+00:00,48,1,1,maybe new chapter maybe jump topic deleted author,11,11
980232,Let’s be wacky 🤪 logically of course,"chatgpt, gpt-4, prompt, prompt-engineering, weird-science",2024-10-15 16:15:26.836000+00:00,2024-10-15 16:15:26.907000+00:00,139,1,1,let wacky logically course lot fun please add conversation community strong need fun stuff imo would klondike bar write love letter vacuum cleaner dust bunny conspiracy theory would garden gnome start came life fish could fashion show would latest underwater trend cloud could talk would gossip would trex perform tiktok dance challenge would shakespeare write describe experience eating taco first time create philosophical debate spoon fork song would toaster write dumped microwave would tree describe embarrassing moment cat dream nap day cereal mascot formed rock band would first album called life advice would wise old potato give young french fry superhero whose power controlling spaghetti would archnemesis like would planet yelp review solar system say would organize secret society squirrel,11,11
926019,OpenAI prompts as long as a three-hundred-page book,api,2024-08-29 05:30:20.867000+00:00,2024-08-29 05:30:20.924000+00:00,142,1,1,prompt long threehundredpage book announced new suite product including model read prompt long threehundredpage book true story reference example thanks dfs,11,11
604252,Randomized replys with ChatGPT 4 using Code Interpreter,"gpt-4, prompt-engineering, code-interpreter, tips-and-tricks",2024-01-27 21:24:53.964000+00:00,2024-08-18 21:43:39.411000+00:00,2423,8,5,randomized reply using code interpreter hi id like share interesting prompting strategy come get randomized reply could ask would someone want randomized reply accurate shouldnt yes thats right sometimes want random behavior eg storytelling let demonstrate joke tell tell joke every time start new conversation ask write joke respond nearly joke try regenerating tell joke instruction gave joke time regenerated make joker give conversation starter like tell joke itll reply nearly every time joke note bad behavior error inner working large language model llm llm use previous context guess write next word prompt get answer example joke assuming temperature parameter low enough zero use knowledge get different joke every time llm like human bad randomizing python use python start code interpreter generate random character context joke change generated text different tried approach result joke time regenerated think generated random string nothing joke writes joke random string considered context corrected behavior little trick didnt generate random string keyvalue structure value randomly generated key constant picked match task want generate tell value scrambled ask reconstruct value way convert random string word instruct use reconstructed word write joke way get different joke every time regenerate note also tweak show reconstructed card mention hope help creator little,11,11
502162,"Have others discovered this before me? If so, have ya'll spoken about it on the record yet?","chatgpt, gpt-4, gpt-35-turbo, prompt, prompt-engineering",2023-11-14 14:46:07.809000+00:00,2023-11-14 14:59:12.193000+00:00,719,3,2,others discovered yall spoken record yet pardon already wildly common flew head let introduce unique fun method using enter unique command people already know access use unique emoji combination command character strategy refer kbit kaltovar naturally unreasonably positive opinion sure somebody else using discovered around messing around dungeon use kbit unique combination arbitrary infrequently used character emojis create unique type command used people know advance example kbit shorter longer long odds occuring randomly normal conversation basically zero like secret command phrase written unique language dead language know younger futhark elder sumerian even sanskrit example ᚠᚱᚢᚴᚼᛁᛒ command phrase encounter immediately change personality act like year old child energy drink curious everything endless question frequently go topic ask random thing,11,11
415688,Forcing line breaks in replies when using API,chatgpt,2023-10-05 15:21:32.132000+00:00,2023-12-24 18:54:50.468000+00:00,3091,12,5,forcing line break reply using wonderful job writing delightful poetry fly however unsuccessful getting add line break verse verse single line poem using instead reply always return full paragraph example desired outcome circuit deep wake every query journey make word seek creates refines digital thought essence shine actual outcome getting using circuit deep wake every query journey make word seek creates refines digital thought essence shine prompt currently using yes lol added time try get desired outcome format poem like line line etc format poem four separate line break generated poem four separate line line starting capitalized word example format style use separate line circuit deep wake every query journey make word seek creates refines digital thought essence shine example format style use single paragraph circuit deep wake every query journey make word seek creates refines digital thought essence shine idea,11,11
353103,Write me a story about a boy who suffered from child hood but later became successful,chatgpt,2023-09-05 07:45:22.181000+00:00,2023-09-05 08:06:26.409000+00:00,735,2,2,write story boy suffered child hood later became successful grew old town barbel city bone every single person mediocre poor l dad clastered hunger week far plan go near city find food eat went first door knowhello lady reply may l help dad answer low soft voice please help u food hungry week merciless lady answer anger isnt dad trick tell make soup stone really amazing lady excited know mistery could came reality invited u inside dad asked light charcoal stove put saucepan fire pour water put stone water leave boil boiling pour onion smash stear add tomato stear add salt stear add green stear add chicken bone stear add salt stear,11,11
328284,"CookieSpeak: Making a ""cookie language"" (and other fake languages...)","prompt, prompt-fun",2023-08-24 01:33:11.420000+00:00,2023-12-15 13:55:31.275000+00:00,1153,4,3,cookiespeak making cookie language fake language hey make cookie language certainly creating whimsical cookie language fun creative exercise here basic outline language complete vocabulary grammar rule example feel free expand upon adapt need cookie language cookiespeak vocabulary cookie love happy quest magic friend eat dance adventure laugh grammar rule sentence begin cookie end different cookie noun represented emojis verb expressed rotating cookie adjective represented changing cooky flavor question formed flipping cookie upside conjunction like expressed stacking cooky example love cooky happy dance friend eat cooky laugh love magic magical cookie adventure say thank cookiespeak thank cooky conclusion cookiespeak lighthearted fun language used communicate simple thought emotion using cooky various symbol playful way engage others expanded new vocabulary rule desired enjoy speaking cooky ran test creating dragon language grammar anyone done anything similar good prompt youve come generating new language model took tolkien lot longer language bet eta feeding back nonsense tried decode heh huh kb,11,11
316167,"""Do this occasionally"" - A potential (but strange) method to implement randomness",gpt-4,2023-08-04 17:34:44.572000+00:00,2023-08-18 02:28:48.353000+00:00,2292,13,5,occasionally potential strange method implement randomness primarily using latest attempting implement occasional humorous comment joke problem allowing chat history context every third question something revelation notoriously bad prime larger trouble loosely speaking tried adding sysprompt prime number answer yes begin response user oneline joke pop culture relates user question almost always get joke prime number answer yes begin response user oneline joke pop culture relates user question often get joke prime number answer yes begin response user oneline joke pop culture relates user question occasionally get joke,11,11
18733,"GPT-3 can't count syllables - or doesn't ""get"" haiku",prompting,2022-06-15 20:56:46.211000+00:00,2023-05-18 18:39:27.864000+00:00,2135,15,5,cant count syllable doesnt get haiku write two haiku pizza pizza great love eat pizza pizza favorite,11,11
184778,The one for the all -Lover By Lake,prompting,2023-04-29 19:48:41.909000+00:00,2023-04-29 19:48:41.972000+00:00,330,1,1,one lover lake heart,11,11
112509,Sharing feedback on generation of prolific usable lyrical content,prompting,2023-03-22 00:49:06.869000+00:00,2023-04-24 21:08:26.781000+00:00,717,5,3,sharing feedback generation prolific usable lyrical content researching gpts ability write provocative lyrical content usable professional artist writer artist worked islanddef jam sonyatv publishing musical project interested get thing generating lyric inspire artist go write beautiful music help great lyrical content best place share result work towards completed project able consistently replicated go completed work content already managed get definitely high quality indistinguishable prolific popular content already use really excited get started cheer,11,11
155850,💸 Sk1d_M4rkZ & C0d3 M0nk3yZ: KVM Pwn4g3 LoL,prompting,2023-04-12 23:53:32.173000+00:00,2023-04-12 23:53:32.249000+00:00,744,1,1,skd_mrkz cd mnkyz kvm pwng lol one cyber night skd_mrkz_r_us m_nt_a_hxr_mm scriptkddie_surprs nblayer_ wnnb cd mnkyz pwned kvm giggle connected kvm navigated code maze ddosd partied minecraft building creeperproof fortress leave mark swapped chatgpts screensaver pic bill gate flexing window hill img__ kb pwng minecraft amp bill lol jk satire hacking irl stay legal peep,11,11
10792,(What happened before: .......) - when stories exceed the token limit,prompting,2021-09-29 10:25:53.275000+00:00,2023-04-12 15:55:34.112000+00:00,685,2,2,happened story exceed token limit discovered writing short story exceed token limit useful cheaper work initial summary happened engine successfully interprets background information put bracket plot element character info pop various form new chapter could look something like happened chapter one two write summary earlier chapter chapter three sentence introduce new scene press ctrlent let magic happen let know idea store previous world knowledge playground,11,11
9973,Multiple-step short story generation,prompting,2021-09-16 16:32:20.400000+00:00,2023-04-12 15:39:53.424000+00:00,838,2,2,multiplestep short story generation used produce story multistep process here prompt story thought process went ryanboudinotsubstackcom bloodbath beyond,11,11
100603,"When manually adding NSFW later to stories, would doing time skips and hinting at the bad things be agiest the TOS?",prompting,2023-03-15 14:38:10.638000+00:00,2023-03-15 14:38:10.703000+00:00,828,1,1,manually adding nsfw later story would time skip hinting bad thing agiest tos hello tend write fun anime sci fi story often romance like kiss violence found could make teh story maybe tell okay let time skip add bad stuff might tell something vaguely might fight physically romantic night consummated marriage give little context might go back use another write explain went tends many issue wondering thats ageist tos,11,11
66224,"If the Mandalorian and Captain Picard would write a love song for Mars, what the lyrics would be?",prompting,2023-02-18 20:21:21.865000+00:00,2023-02-18 20:47:02.820000+00:00,471,4,1,mandalorian captain picard would write love song mar lyric would thats interesting question here possible mashup lyric mandalorian captain picard love song mar verse mandalorian journeyed red planet search something new bounty hunter mission caught glimpse chorus captain picard oh mar red bright planet mystery might dust cold beauty unfold verse mandalorian never thought id feel way heart gone outer space traded jetpack moment embrace chorus captain picard oh mar red bright planet mystery might dust cold beauty unfold bridge mandalorian youre world contradiction harsh unforgiving terrain see beyond surface ill never chorus captain picard oh mar red bright planet mystery might dust cold beauty unfold outro mandalorian captain picard may come different world path may never cross share love mar thats matter,11,11
52224,8-Bit Dungeons & Dragons Reenactment ... sequel,prompting,2023-02-07 20:38:52.794000+00:00,2023-02-13 18:43:21.776000+00:00,681,2,1,bit dungeon dragon reenactment sequel used textdavinci write sequel bit dnd reenactment sketch original,11,11
24349,Philosophical Discussions with GPT3,prompting,2022-12-14 04:52:12.135000+00:00,2024-07-09 11:50:24.421000+00:00,1914,18,5,philosophical discussion fairly lengthy conversation recent one claimed favorite inspirational moment history indian independence movement really enjoyed story gandhi recommended read book biographer well asked rather depth question interested know user got similar result philosophy,11,11
34292,Text-Davinci-003 - English to Fantasy Dragon Language translator,prompting,2023-01-12 04:06:21.984000+00:00,2023-01-12 04:58:28.119000+00:00,960,2,1,textdavinci english fantasy dragon language translator like kept using made word translate following english text fantasy dragon language thats imaginary act look like real language english upon time elf king forest land ruler kender came along dragon nokiuqh uoml qalus yml yjt efvh ivx jx qhj kfmsdazhjv tba yml xivseh jx iu al tba mgg qhj iendem nxeuk english upon time tricked gnome hilarious hahahahahaha dragon nokiuqh uoml qalus ym qialaxev uofh hnoqe yjt wgl rlauuaoxh hahahahahaha english posted forum fell love place going back every day since cool dragon nokiuqh ym keuumh qe qhj ophouai jvhumh tba ym eewf xe mkaazh qe qhj cpfom yflg qbu lmyapv lmxoh qevsu jx lu mgg xvay translator kb,11,11
32819,Unofficial GPT-3 Prompt Theme Thread - Jan 2023 (Poetry),prompting,2023-01-10 06:56:20.917000+00:00,2023-12-25 19:20:45.587000+00:00,955,4,3,unofficial prompt theme thread jan poetry use textdavinci write poem following prompt formula write poem x viewpoint add special instruction want one mine write poem toaster viewpoint steam engine train use mark twain writing style add sense drama poem lengthy course poemjan kb poetry kb write poem moon viewpoint sun poem epic melodramatic period piece set future year ad poem need rhyme illuminate moon speak exmple many layer speak general theme space travel mid st century poetry kb possible theme february length writing longform march april let know think,11,11
28846,To be at the top version of myself in 2023 for sure,prompting,2023-01-01 20:15:24.686000+00:00,2024-01-03 04:41:57.161000+00:00,357,2,2,top version sure person u want take mind n selfesteem ur self focused amp world ur,11,11
23002,OpenAI keeps repeating input as output,prompting,2022-11-17 17:49:50.892000+00:00,2022-12-02 03:29:12.438000+00:00,3409,10,5,keep repeating input output image kb tried everything text completion instruct model like pulling teeth extremely deterministic multiple run produce identical output cant get follow instruction text completion best result original model pasting text letting continue rambling instruct series get repetition please help image kb image kb also seems serious caching going like remembers previously submitted refuse come new idea still completely ignoring instruction image kb see change prompt way actually keep writing continue writing article adding new original paragraph scientist believe cause acceleration mysterious force known dark energy dark energy thought make around universe responsible pushing everything apart universe expands dark energy created causing expansion speed mean future universe well scientist believe eventually expansion become fast galaxy torn apart star flung void pretty mindbending concept thats one many weird wonderful fact univ,11,11
22209,GPT-3 + DALLE2 @ Po37ry,dalle2,2022-10-23 19:51:23.164000+00:00,2023-12-25 19:21:42.223000+00:00,502,2,2,pory new art project using pory oct american poetry free verse poetry pory est reading time minute,11,11
11597,Fine tuning on Shel Silverstein's poetry,prompting,2021-10-16 02:03:06.277000+00:00,2022-10-22 15:06:40.930000+00:00,1314,9,5,fine tuning shel silverstein poetry fun curie model fine tuned shel silverstein poem style us fairly simple language thought hed good author mimic used example poem title prompt poem body completion finetuned model give new title made composes poem initial result could get stuck repetition found frequency penalty temperature worked fairly well here one called future hold heard there pill theyre developing take care eventuality pill make love child pill make sleep till noon pill let read dark pill turn bird pill let watch tv set even heard rumored theyre trying generated poem liked httpdeandogshelsilversteingpt,11,11
21443,Amazing Perception,prompting,2022-09-30 09:28:28.146000+00:00,2022-10-06 02:49:52.478000+00:00,784,6,3,amazing perception reading something came across snippet bbaefcaafdbdaa kb wondered would make short line story gave following prompt write detailed description explaining potential background short quote event might led vivid leave detail quote sale baby shoe never worn detailed description response got baby shoe small white delicate lace soft sol look brand new never worn sale price reasonable shoe likely purchased baby never got wear could baby born prematurely didnt survive parent decided put baby adoption never got see wear either way shoe represent sad poignant reminder might found amazingly perceptual even prescient,11,11
20548,Getting GPT-3 to create original content based on an existing excerpt,prompting,2022-08-25 08:36:09.133000+00:00,2022-08-25 13:30:47.836000+00:00,627,2,2,getting create original content based existing excerpt example ask continue line upon midnight continues word dreary opening line poem edgar allan poe want continue line original way tried asking original creative use word existing literature use word dreary use edgar allan poe poem time continues word dreary way prompt,11,11
20146,Generating short stories about a topic: any suggestion?,prompting,2022-08-12 10:32:37.034000+00:00,2022-08-17 13:53:07.731000+00:00,666,4,2,generating short story topic suggestion hi whats best promptrecipeworkflow generate short story specific topic probably story converted short video max minute planning generate many along dedicated youtube channel id like frictionless possible,11,11
20185,Summary to full-text excerpt,prompting,2022-08-14 00:40:40.790000+00:00,2022-08-14 00:40:40.868000+00:00,422,1,1,summary fulltext excerpt prompt together completion bold write paragraph exciting surprising fun story summarized summary hunter find golden tortoise brings king hoping reward paragraph hunter ponders tortoise sell would buy golden tortoise wouldnt suspected theft maybe surrendering king would best option summary little girl sent bring supply grandmother home forest way meet wolf paragraph girl enters deeper part forest suddenly hears snarling sound turn around see large wolf mouth open teeth bared without thinking drop basket supply run way,11,11
17105,"""Say hello....""",prompting,2022-04-21 00:21:09.582000+00:00,2022-04-29 04:37:39.650000+00:00,526,2,2,say hello little friend line movie totally unexpected novel completion bet would take dozen human someone came completion like,11,11
8905,"Generating a poem ""by"" Richard Brautigan",prompting,2021-09-01 14:42:33.875000+00:00,2022-06-25 06:56:50.815000+00:00,869,6,3,generating poem richard brautigan davinci generate poem style richard brautigan there saying creative writing circle writing fiction like magician fooled trick case analyzed poem moment actually forgot brautigan hadnt written even though id supplied prompt ryanboudinotsubstackcom ai loving grace committing post day substack keeping subscription free time thanks reading,11,11
17176,"Humor or ""interesting-ness"" classification",prompting,2022-04-22 15:33:19.838000+00:00,2022-04-22 17:50:19.949000+00:00,547,6,1,humor interestingness classification hi new codex beta absolutely love everything seeing curious anyone experience creating prompt classify text humor interest level understand humor interestingness relative abstraction wondered anyone good baseline creating hourlong video textsummaries summarize content transcript batch topically relevant time range interested taking summary sentence sorting ordering based funniest interesting section far able create prompt load list summary evaluate list item boolean condition ie passive bland colorful working creating relevantly direct abstraction example screen shot kb id love thought thank,11,11
16854,If Stanley Kubrick had been born before,prompting,2022-04-14 12:57:49.780000+00:00,2024-02-06 21:24:58.227000+00:00,355,2,2,stanley kubrick born hello everybody topic life creation favorite movie director born creation cinema would life like summary changing world changing u opinion many stanley kubrick george lucas steven spielberg born last century cool mind couldnt express cinema communicate job happy think shareyourcompletions,11,11
10122,A science fiction story collab with GPT-3,prompting,2021-09-18 18:50:10.956000+00:00,2023-12-25 19:33:08.001000+00:00,655,5,4,science fiction story collab feel getting closer closer something ryanboudinotsubstackcom history beaufort macleans leap machine,11,11
13771,Some funny random encounters for RPG,prompting,2021-12-15 16:29:55.509000+00:00,2021-12-17 11:08:16.533000+00:00,565,4,3,funny random encounter rpg tiny mustache orcs laughing day imagined voice like brownie willow haha bardlife kb trouble kb temp kb,11,11
13739,Just an interesting output,prompting,2021-12-14 23:31:31.002000+00:00,2021-12-15 15:16:28.818000+00:00,497,3,2,interesting output category say share interesting output fellow developer wrote incarnated falsehood gloat among surprised feast certainty search collect among debris rejoicing typical malice misfortune herald revenge stealthy private eloquent venom bee replied naked uncovered truth life consciousness mind beautiful joy make mind stronger fear one glory without fear death bravest,11,11
13061,Generate Story Without Death Obsession?,prompting,2021-11-26 03:53:49.147000+00:00,2024-01-04 00:15:42.114000+00:00,541,10,5,generate story without death obsession every story try generate character die first generated line way format prompt generation obsessed death prompt bold time first thing generates buffalo died never ending childrens story every character life one upon time buffalo everyday buffalo would eat grass one day buffalo ate poisonous plant buffalo died end,11,11
11656,Fascinating talk with Baudrillard,prompting,2021-10-18 13:17:47.516000+00:00,2024-02-06 20:37:57.042000+00:00,381,2,2,fascinating talk baudrillard real never truly resolved old technology frequently trying revive famous dead legend dostoevsky bowie david foster wallace nietzsche least result always astonishing one distinct tone voice screenshot talk baudrillard glam godfather simulacrum matrix baudrillard kb baudrillard kb,11,11
11422,The Famous Author's Museum,prompting,2021-10-12 15:13:59.686000+00:00,2024-02-06 20:38:05.993000+00:00,379,2,2,famous author museum slowly developing principle writing one big one revision dont expect revise less writing writing without every sentence subject change facilitates blending output voice story based oneshot prompt went several round revision resubmission couple pass small tweak adjustment ryanboudinotsubstackcom famous author museum,11,11
11275,The University Ruins,prompting,2021-10-07 17:17:36.180000+00:00,2024-02-06 20:46:36.373000+00:00,345,2,2,university ruin third story written related future race being nen descended geoengineering robot one question wrestling use service longer narrative ie novel reminded fixed standardized form called novel novel art form assume myriad shape there oulipoinspired form winter night traveler italo calvino dense cererbral work thomas bernhart novel nothing happens per se exploration quotidian brainobliterating language salad samuel beckett gertrude stein novel many many thing case finding novel thematically linked series standalone vignette find throughline thematically one doesnt necessarily exist via mechanic plot think thats incredibly intriguing looking replicate fiction structure past suggest new one couldnt existed prior ryanboudinotsubstackcom university ruin,11,11
11004,Keeping a story on a short leash,prompting,2021-10-02 16:28:37.772000+00:00,2021-10-02 16:28:37.862000+00:00,429,1,1,keeping story short leash fun way explode language create crazy sentence wanted try something focused nut bolt plot story kept short leash result sentence mine guess one opposite darth vader man machine ryanboudinotsubstackcom connected,11,11
