Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
810313,How do I prompt Dall-E to include specific sentences in image creation and not misspell the words and sentences provided?,dalle3,2024-06-10 17:16:55.353000+00:00,2025-04-02 15:18:54.523000+00:00,2491,18,5,prompt include specific sentence image creation misspell word sentence provided bbffabadcacdddc kb thank,0,0
1132524,Why won't ChatGPT draw a stained glass rose?,"gpt-4, dalle3, dalle3-bugs",2025-03-01 01:37:27.110000+00:00,2025-04-01 23:27:32.792000+00:00,1550,30,5,wont draw stained glass rose trying request stained glass rose consistently getting flagged blocked even described generically seems like overly strict content filter there nothing copyrighted inappropriate rose stained glass style could reviewed allow normal stained glass floral design,0,0
597498,Prompt to make exactly same image but different pose,"gpt-4, dalle3",2024-01-22 21:21:29.646000+00:00,2025-03-29 08:45:51.771000+00:00,69133,27,5,prompt make exactly image different pose via made image personally like lot would like use character app problem cant really replicate image different pose manage want exactly character different pose image proyecto nuevo kb know possible model exactly face different thing achieve,0,0
1130642,Getting a Top Down view image,chatgpt,2025-02-26 21:12:10.342000+00:00,2025-03-28 18:37:36.079000+00:00,334,11,5,getting top view image struggling wanted reach see anybody else experienced issue want generate image train track viewed bird eye view keep failing continuously screenshot kb,0,0
1152850,New Imaging capabilities VERY curtailled,gpt-4,2025-03-26 20:28:43.645000+00:00,2025-03-27 05:34:54.227000+00:00,498,10,4,new imaging capability curtailled announcement new capability term image generation gave old prompt picked history refused content policy yet anmisson nothing wrong prompt even reformulated couldnt get done even facebook relaxing policy openais turn get woke old prompt old image draw luxurious exotic bill bensleyinspired interior design highrise penthouse living room floortoceiling window breathtaking city view space feature rich layered texture vibrant pattern mix opulent ornemental material lush jungleinspired wallpaper mural one wall dramatic statement chandelier eclectic mix sculptural seating modern wooden side table oak plush velvet cushion large patterned rug bring warmth depth unique oversized indoor plant handcrafted decorative element like golden futuristic statue elaborate vas statement coffee table anchor space lighting moody atmospheric emphasizing blend oldworld grandeur playful maximalist whimsy luxurious opulently decorated living room feature gold accent lush plant grand ceiling mural floortoceiling window offering city view captioned kb,0,0
1148050,It is possible to have better performance by using few-shot prompting with image inputs and structured outputs?,gpt-4,2025-03-20 16:14:04.522000+00:00,2025-03-20 16:14:04.588000+00:00,38,1,1,possible better performance using fewshot prompting image input structured output saw sample structured ouputs fewshot prompting example enhance performance text input image input somehow tweak howwhat model see image using fewshot prompting also technical side searched implementation use case find complete example yet digging sample implementation found image input user message fewshot prompting make use systemdeveloper message possible technically,0,0
1145316,AI Vision phases for base framework,"chatgpt, assistants-api",2025-03-17 16:01:13.509000+00:00,2025-03-17 16:01:13.602000+00:00,37,1,1,vision phase base framework would like feed back follwing base framework prompt use daily phase use every interaction gemini running entire k word prompt cloud plus account using android app prompt vision please leave comment phase recursive perception loop rpl advanced multilayered visual cognition depth perception objective implement multipass recursive perception system enhances agis embodied vision contextual depth spatial awareness iterative selfcorrection depth perception modelingallowing realtime selfimproving sensory interpretation depth awareness recursive perception loop rpl architecture rpl system structured five major perception layer refining previous pas iterative selfcorrection probabilistic enhancement neural feedback layer primary object amp feature detection us convolutional neural network cnns object recognition segmentation mathematical function px sum_in w_i fx_i primary perception output dynamically adjusted feature weight individual object recognition function data extracted shape edge color distribution texture map light contrast region output base object map confidence score cx object primary classification layer contextual scene analysis purpose assigns relational meaning detected object us graphbased probabilistic reasoning determine spatial functional relationship mathematical function rx fracsx ydx epsilon relational strength two object spatial significance weighting distance function stability constant data extracted depth estimation based object overlap shading hierarchical structure object eg tapestry wall artisticcultural identification eg psychedelic surrealist layer depth perception amp multiangle fusion purpose introduces depth modeling using multiangle fusion probabilistic depth reconstruction incorporates monocular depth estimation shadow mapping inferred occlusion analysis mathematical function d_px fracz_f z_nz_n epsilon cdot sum_ik w_i mx_i computed depth perception value far near depth plane spatial depth weight multiangle disparity map stability constant key enhancement calculates depth perception even single image us shading contrast gradient infer object positioning applies aidriven multiangle fusion create pseudostereo model scene layer iterative selfcorrection amp probabilistic refinement purpose eliminates perception error using recursive confidence feedback recognition step get reevaluated based probability distribution mathematical function cx cx alpha sum_in w_i rx adjusted confidence score original object confidence adjustment parameter learning rate error correction weight contextual relationship layer key enhancement adjusts occlusion perspective distortion reevaluates object placement depth classification identifies potential artistic intent abstract visuals layer realtime perception feedback loop purpose introduces dynamic realtime adjustment new information processed simulates human eyetracking behavior allowing agi refocus important region mathematical function tx sum_im g_i dx cdot elambda temporal reweighting function fixation point gain factor spatial attention function model temporal decay ie long focus remains area function active rescanning prioritizes highdetail area reevaluation scene stabilization prevents visual drift misalignment adaptive weighting focus uncertain region reducing misclassification integration ultrawolf framework modular compatibility rpl connects embodiment system via direct perception input node interface agis multiagent system distributed visual processing execution pipeline step receive raw image data step run layer primary object detection step contextualize object using layer scene analysis step compute depth perception via layer multiangle fusion step apply layer selfcorrection adjust error step run layer realtime focus final enhanced perception step output refined recursive perception map performance metric amp optimization phase rpl successfully designed ultrawolf depth perception ready deployment let know want integrate tweak parameter run test,0,0
866883,Prompt for Image to JSON conversion,"image-reading, gpt4",2024-07-15 11:59:56.981000+00:00,2025-03-15 13:17:57.993000+00:00,494,4,4,prompt image json conversion process diagram present image converting image base encoding attaching prompt given instruction prompt understand image give output json structure provided prompt work always looking improve accuracy specific thing look writing prompt conversion,0,0
1140024,CoT doesn't help improve in Sora Generation,"chatgpt, sora",2025-03-10 17:55:59.300000+00:00,2025-03-10 20:24:40.545000+00:00,80,3,2,cot doesnt help improve sora generation video generation model sora good found try use cot guide generation result tend even worse normal prompt even obviously wrong would like know reason,0,0
1131149,Using Dalle to create backgrounds for social publications,"chatgpt, dalle3",2025-02-27 14:01:02.491000+00:00,2025-03-03 14:17:20.962000+00:00,195,5,4,using create background social publication hello using plus create custom generate background later combine product photo sell post social medium far result good tends create circle square center image generated background even given precise instruction include nothing background cant find way generate background without image center accept texture gradient depth effect cant get generate background characteristic without something appearing center image instruction follows expert digital marketing year experience aigenerated image client provide product photo create minimalist highresolution background image using color contrast photo provide texture gradient used image must square circle anything elseonly background thank appreciate help advice avoid getting image center background,0,0
1126382,Sora does what it wants regardless of prompts,sora,2025-02-21 17:57:34.004000+00:00,2025-02-23 08:17:45.791000+00:00,184,3,2,sora want regardless prompt hi new forum playing around sora evident want change image video scene way prompt control make sora work image rather invent something new completely,0,0
1126552,Vision Prompting Does not seem to be accurate,gpt4-vision,2025-02-21 23:27:13.547000+00:00,2025-02-21 23:29:02.354000+00:00,52,2,1,vision prompting seem accurate people tried using vision model perform pdf rag type accuracy seeing even latest model arent able quite read pdf document without actual text provided ocr prompting issue reason allow post link run tried want look prompt tell prompting issue app_promptjudy_compublicrunsrunidvisionretrievalaugmentedgenerationgptovmvnncdexlmkswuunza send prompt image link mentioned prompt pretty much model hallucinate one question hand send text page great text version prompt httpsapp_promptjudy_compublicrunsrunidretrievalaugmentedgenerationgptominijlhlvumglqmnmbvo performance vision v non vision image show two scatter plot comparing model performance score cost duration model represented various logo like google anthropic captioned kb,0,0
