Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
1129306,Classifying Qs based on text. Which model is best? 4o or o3-mini?,"gpt-4, o3-mini, classification",2025-02-25 12:53:57.401000+00:00,2025-02-26 07:15:45.565000+00:00,201,3,3,classifying q based text model best omini providing text set q need classify q based text q text noticed omini provide different result model would guy recommend q classification task,7,8
1120084,Learn when to use o1 and o3-mini and how they compare to GPT-4o,prompting,2025-02-13 22:57:22.288000+00:00,2025-02-14 01:17:45.831000+00:00,3726,3,3,learn use omini compare gpto weve put together best practice using oseries model difference reasoning nonreasoning model use reasoning model approach prompting reasoning model effectively read guide httpsplatformopenaicomdocsguidesreasoningbestpractices jochenschultz say launching omini announcement getting rid boomer prompt finally,7,8
1001898,Can't use fine-tuned model due to usage limits?,gpt-4,2024-11-02 20:01:02.063000+00:00,2024-11-03 14:07:43.381000+00:00,132,5,3,cant use finetuned model due usage limit currently using hobby related activity trying limit much money spend active dollar credit monitoring usage wanted experiment fine tuning trained model small dataset roughly entry activity took minute burned last actually surprised expensive small dataset thats point added fund account still completely unable use finetuned test result exercising playground prompt input spit back result youve reached usage limit see usage dashboard billing setting detail question please contact u help center helpopenaicom go support page feed assistant limited selection none seem apply go billing page see positive balance go limit page see generic list limit nothing obviously suggesting shouldnt able use model idea might going specifically need remedy feeling like spent training model cant use perhaps cant afford use nonrevenue generating hobby,7,8
826315,Choosing the model in the free version of chatgpt,"chatgpt, gpt-4, gpt-35-turbo",2024-06-18 05:01:19.185000+00:00,2024-10-22 06:47:15.088000+00:00,6198,3,3,choosing model free version model made available free user used alot hesitant use limited prompt first used dont want waste feel like allow free user pick turbo model guy think,7,8
975494,How to efficiently create ground truth sets using GPT-4?,"chatgpt, gpt-4",2024-10-11 14:05:34.267000+00:00,2024-10-11 21:54:06.401000+00:00,401,2,2,efficiently create ground truth set using would like evaluate performance finetuned llm model created summarizes news text need ground truth set would like structured prompt response pair prompt would example news text response would finetuned llm response want scale wondering helpful technique industry leading method generating something like promptresponse pair quickly much thanks,7,8
929644,Fine Tunning gpt4o model with Prompt Engineering and RAG,"gpt-4, api",2024-09-03 10:36:52.186000+00:00,2024-09-03 10:36:52.240000+00:00,211,1,1,fine tunning gpto model prompt engineering rag hi want fine tune gpto model custom dataset way model also integrated retrieval augmented generation mechanism fine tune model prompt engineering techniqueon model gpto way fine tuned model integrated rag system well inference please answer detail,7,8
793606,Differences between knowledge data vs fine-tuning data,"chatgpt, gpt-4",2024-06-03 12:06:46.922000+00:00,2024-06-03 15:19:16.007000+00:00,335,2,2,difference knowledge data v finetuning data could somebody emphasize difference substance formatting knowledge data custom finetuning data interesting specially difference formatting substantial difference background question end day adjusting method serve goal give answer exact related question rising correct approach finetuning data rather rule answer data extraction styling knowledge data factual information answer extracted formulated basis proper way use data finetuning knowledge,7,8
564135,Issues with Fine-Tuned Babbage-002 Model Returning Incorrect Completions,"chatgpt, gpt-4",2023-12-19 03:09:00.732000+00:00,2023-12-21 00:09:50.327000+00:00,1763,14,5,issue finetuned babbage model returning incorrect completion hi everyone encountering challenge finetuned babbage model seeking help context using babbage model classifying caller intent customer service setting intent include something like talktouser leavingmessage bookmeeting idletalk etc training set formatted follows prompt hi ben would like talk real quick gt completion talktouser issue since started using babbage weve observed numerous instance model return incorrect completion arent slightly completion dont exist training set examplea prompt like package arrived damaged model returned requestcomplaintservice completion whereas correct expected completion training set complaintsissues notably requestcomplaintservice isnt completion weve trained model question ensure finetuned model strictly adheres completion provided training set way restrict model completion present training data thank much help,7,8
23229,InstructGPT and fine tuning,prompting,2022-11-24 16:19:39.128000+00:00,2023-12-08 03:23:59.001000+00:00,1485,5,5,instructgpt fine tuning hi looking information fine tuning instructgpt id like know difference previous version case better fine tune prompt engineering info topic,7,8
505729,"Prediction prompting: exact, or a threshold?","chatgpt, gpt-4",2023-11-15 22:03:23.760000+00:00,2023-11-17 11:43:21.022000+00:00,3052,12,5,prediction prompting exact threshold researching use language model making prediction question need predict something like sport event outcome future price investment lot data think better way use ask precise prediction simplify whether value like number goal bitcoin price certain threshold ask directly whether value threshold way thinking better suited thanks,7,8
459529,Seeking Solutions for Instability in Multi-Class Labeling Tasks,"api, research, classification",2023-10-30 02:06:38.731000+00:00,2023-11-15 04:26:47.229000+00:00,1036,9,5,seeking solution instability multiclass labeling task using k model temperature setting dealing multiclass labeling task traditional chinese corpus two issue encountered output format unstable even specifying format providing example output format still change unpredictably prompt exactly output format changed csv json noticeable pattern change labeled result order use labeled result baseline scientific research high degree reproducibility needed desired labeled result influenced factor specified output format expected multiple request text consistently produce stable consistent labeled result id like ask similar experience share advice thank,7,8
498472,How to teach a model to match multiple lists,gpt-4,2023-11-13 04:31:26.312000+00:00,2023-11-14 03:50:09.865000+00:00,1007,14,2,teach model match multiple list got task make sure model tell whether one send receive payment certain currency specific country there list supported country list supported currency tried approach simplest one prompt wrote supported country sending payment supported country receiving payment listed country similarly currency described country detail like make payment honduras cant receive payment honduras go currency country explicitly stated whether receive send payment currency query like receive payment honduras yuan third prompt option work less case approach answer seems random another way teach model match two list,7,8
