Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
36,About the Prompting category,prompting,2021-03-10 20:40:28.668000+00:00,2021-03-10 20:40:28.674000+00:00,27009,1,1,prompting category learn prompting sharing best practice favorite prompt please keep prompt appropriate within openais tos,5,6
1146216,How to humanize ChatGPT content effectively with prompting?,"chatgpt, prompt",2025-03-18 14:01:07.582000+00:00,2025-03-22 04:25:17.644000+00:00,398,2,2,humanize content effectively prompting hi everyone newly come techminded person question simple need help write article know prompt help humanize content used several humanize tool actually adding phrase even error humanize content bear thank advance,5,6
516778,Tools for Testing Custom GPT Prompts,prompt-engineering,2023-11-21 08:58:48.079000+00:00,2025-03-12 05:02:00.076000+00:00,14293,56,5,tool testing custom prompt hey everyone first post please kind experimenting building custom conversational gpts various purpose example get insight job candidate interest passion naturally flowing conversation like interview looking way test compare result different version prompt consistent condition part process iterating refining improving prompt tool help thing like keeping track prompt version simulating conversation compare effectiveness different prompt version etc currently simply using craft prompt simulate conversation manually comparing tweaking prompt one version next insight pointer would greatly appreciated thanks,5,6
611835,Using AI to Generate Crochet Patterns,prompt-engineering,2024-02-02 18:01:01.166000+00:00,2025-03-07 14:40:09.509000+00:00,5036,6,5,using generate crochet pattern middle school student learning prompting generative multimodel past couple month also avid crocheter want use generate allnew crochet pattern anyone help prompting share technique help connect resource,5,6
1124343,"Ask for help- What is the ideal prompt to make the content more ""humanized""?",chatgpt,2025-02-19 08:00:07.764000+00:00,2025-02-26 06:33:27.517000+00:00,1396,12,5,ask help ideal prompt make content humanized hi anyone recommended prompt let content generated humanized less percentage heard tell use certain wordsbut still big question,5,6
1119299,Prompt Regression Testing - API Usage,"api, prompt-engineering",2025-02-13 00:57:28.468000+00:00,2025-02-14 18:58:00.608000+00:00,227,11,4,prompt regression testing usage approaching prompt regression production application context model choice constant prompt performing well however suddenly regress causing disruption downstream tool invocation tracking good logging place happened structured output released initially however since optimized prompt pretty stable last month recently technically guarantee idempotent behavior prompt,5,6
319544,How to approach this task: email boilerplate removal,"chatgpt, gpt-4, api, gpt-35-turbo",2023-08-09 20:37:59.771000+00:00,2025-02-13 16:12:07.865000+00:00,1813,18,5,approach task email boilerplate removal thousand email hundred online shop email may different topic confirming order updating order status reminding customer account marketing etc email vendor generally consistently formatted email written html may headerfooters contain generic image link promotional content email also main body specific subject said experimenting prompting process email remove boilerplate including header footer signature section output plain text main body message prompt use following text delimited triple backticks html source code email extract clean text main message remove header footer message email signature section also remove everything within signature section textnntext result rather mixed probably case output ok quite notable case text cut arbitrarily example html source code long sentence long sentence long sentence long sentence sometimes fails retain text two tag may return something like long obviously boilerplate removal would work better ask model look email client time could using formatting would possible due limited input context suggestion please anything done wrong tip thought thanks,5,6
1112510,Browser Extension To Manage and Access Your Prompts,chatgpt,2025-02-04 15:14:41.547000+00:00,2025-02-05 00:12:51.960000+00:00,181,4,3,browser extension manage access prompt created free rightclick prompt extension help store organize quickly copy prompt clipboard would love get feedback find useful make better image showcase tool called rcp rightclick prompt organizing prompt folder saving new prompt instantly working across platform menu editing deleting different prompt category captioned kb,5,6
323527,Managing prompts in production,"api, prompt, prompt-engineering",2023-08-16 14:13:25.278000+00:00,2025-01-22 16:47:43.713000+00:00,4079,12,5,managing prompt production hi previously worked team storing prompt json database struggling iterate migrate production looked solve creating enterprise prompt management platform promptlyhq today promptlyhq integrates azure team project support scalable apis prompt versioning looking add additional feature would love hear feedback use case anything else say looking help developer product team dont hesitate reach help thanks,5,6
1099296,Online tool available for writing effective prompts,api,2025-01-23 04:07:55.187000+00:00,2025-01-27 13:12:31.131000+00:00,571,6,5,online tool available writing effective prompt hi team anyone tell open online tool website available generate highly effective prompt business usescase using public sending parameter get prompt anyhelp highly appreciated thanks,5,6
