Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
1142746,Comparing GPT-4o and O3-Mini on same task,"chatgpt, gpt-4o, o3-mini",2025-03-14 01:50:18.923000+00:00,2025-03-14 06:17:51.534000+00:00,376,3,2,comparing gpto omini task hi lately comparing gpto omini task evaluate problemsolving capability task determine whether user phishing scammer based conversation user user since model need infer conversation initially expected omini perform better gpto term fscore however gpto consistently outperformed omini case made curious underlying reason idea related id love hear thought context prompt provides list suspicious behavior considered determining whether conversation scam model expected return true certain condition met false otherwise added let think step step gptos prompt encourage cot chain thought reasoning omitted omini since heard could negatively impact performance model received exact prompt could reason prompt optimized gpto leading performance drop omini kind prompting would effective omini exploring multiple angle hit limitation wanted reach insight experience share id really appreciate thanks,12,12
544032,GPT generation follows a hidden email pattern,chatgpt,2023-12-05 09:37:47.975000+00:00,2025-02-10 18:33:46.046000+00:00,1134,10,4,generation follows hidden email pattern working gptturbok model generate email content prompted use dear user start seems implicit template form dear user thank need start dear user thank anyone suggestion problem,12,12
1094344,"I have a 10K tokens prompt,. Does gpt-4-turbo handle that?",gpt-4,2025-01-18 00:14:57.386000+00:00,2025-01-18 00:46:59.167000+00:00,127,2,2,k token prompt gptturbo handle k token prompt gptturbo handle time gptturbo generate really good aswers time get confuse reading gptturbo onlye support k token correct asked gpto told use gptk model listed dashboard sure model really exist,12,12
588502,GPT4-Turbo doesn't listen to instructions,"chatgpt, gpt-4, gpt-35-turbo",2024-01-16 00:59:32.586000+00:00,2025-01-16 11:26:17.150000+00:00,1906,5,3,gptturbo doesnt listen instruction trying get gptturbo listen prompt day prompt list thing must create summary topic continue develop content exhausted topic break rule severely punished given headline text task create paragraph follows write detailed paragraph discusses topic depth text must contain character start clear concise introduction capture essence topic develop topic providing comprehensive insightful information maintain consistent tone style throughout paragraph avoid unnecessary detail contribute main discussion ensure paragraph logically structured easy read informative never create summary topic follow instruction system message create text always creates summary end cant get stop setting temperature top frequency presence ask help dont know handle doesnt want summary end want achieve creation paragraph based topic given also anyone knowledge editorial content creation make difference prompt thank much,12,12
1087635,One request costs 153491 input tokens,gpt-4o-mini,2025-01-11 11:35:03.091000+00:00,2025-01-13 00:16:48.607000+00:00,305,10,4,one request cost input token making one request gptomini playground request one x image black white text word prompt usage display see one request cost input token correct,12,12
963779,Does prompt caching works on chatgpt-4o-latest?,"chatgpt, gpt-4",2024-10-01 18:45:44.516000+00:00,2024-12-10 01:28:13.232000+00:00,531,6,5,prompt caching work chatgptolatest accoring new prompt cache documentation say support gpto gptomini opreview omini wondering chatgptolatest field gpto,12,12
1026209,How to calculate input and output tokens?,"gpt4o, gpt4-vision",2024-11-21 05:06:46.094000+00:00,2024-11-21 05:06:46.152000+00:00,234,1,1,calculate input output token using vision capability gpto using key want know total token input image giving output generated following code import base import client function encode image def encode_imageimage_path openimage_path rb image_file return basebencodeimage_filereaddecodeutf path image image_path path_to_your_imagejpg getting base string base_image encode_imageimage_path response clientchatcompletionscreate modelgptomini message role user content type text text image type image_url image_url url fdataimagejpegbasebase_image printresponsechoices kindly anyone help calculate token estimate per call cost thanks,12,12
1006897,Ensuring Consistent Output with GPT-4o-2024-08-06 (Temperature Set to 0),"gpt-4, api",2024-11-06 20:58:38.013000+00:00,2024-11-07 02:57:47.932000+00:00,669,5,3,ensuring consistent output gpto temperature set noticing run prompt multiple time gpto output arent always identical even though set temperature anything make output fully consistent run run tip insight would appreciated,12,12
175676,Response for mathematical request,prompting,2023-04-24 12:21:24.195000+00:00,2024-10-29 02:05:07.152000+00:00,3106,10,5,response mathematical request hi trying around python using openaichatcompletioncreatemodelgptturbo message remaining parameter using default value sending request mathematical formula german ist got three different answer none correct every answer look way da ergebnis ist oder da ergebnis von ist da ergebnis von ist expectation wrong case act calculate formula look like actually guessing,12,12
992307,How does Prompt Caching work?,"api, prompt-caching",2024-10-25 14:48:46.614000+00:00,2024-10-29 01:27:48.946000+00:00,2184,9,4,prompt caching work using gptomini scenario includes system prompt tool user message token upon sending request multiple time finding token cached would expect token get cached lesser number token getting cached scenario remove word token sent request subsequently cached token reduced token compared previous request someone explain exactly prompt caching work scenario sequence token picked caching example say sending token system prompt token tool user message token token multiple request expect token cached caching lesser number token system prompt tool token user message token cached startend point type token get cached limitation cache token please explain,12,12
