Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
1110078,ChatGPT4o ignoring prompts in instructions box,gpt-4,2025-02-01 16:50:15.541000+00:00,2025-03-12 12:09:26.631000+00:00,1345,12,5,chatgpto ignoring prompt instruction box suddenly multiple issue within team account issue project custom gpts project working fine last day suddenly ignoring instruction inside instruction box project past prompt regular chat window work every time flawlessly working consistently last day prompt instruction box lower right chat window team project ignoring everything box reason prompt dont seem work custom gpts consistently either ignores reason extremely confusing prompt work normal chat window working fine day confused started happening seems like serious bug prompt working consistently two day ago change made still working today help advice resolve would greatly appreciated interesting seems issue model tried work strange,15,14
1134417,Regenerate bug : whenever i stopped the ongoing conversation in Chatgpt why does it always prompt regenerate instead of a new chat,chatgpt,2025-03-03 15:45:25.747000+00:00,2025-03-03 15:45:25.808000+00:00,68,1,1,regenerate bug whenever stopped ongoing conversation always prompt regenerate instead new chat whenever stopped ongoing conversation always prompt regenerate instead new chat,15,14
1089715,Instruction size for a realtime conversation via Twilio,api,2025-01-13 15:48:23.980000+00:00,2025-01-13 15:48:24.039000+00:00,54,1,1,instruction size realtime conversation via twilio hi twilio integration setup working fairly well question around best practice length instruction currently long instruction set confirm hotel reservation reservation today yes exit room correct yes exit confirm last four digit credit card yes continue flag error notify reminder user exit better smaller instruction set update conversation go longer one fine shorter best achieve using websocket call thanks,15,14
1085509,Prompt Submission Disabled When Canvas Icon Appears,"chatgpt, prompt, canvas",2025-01-09 13:18:24.800000+00:00,2025-01-09 13:44:22.988000+00:00,192,5,2,prompt submission disabled canvas icon appears writing report issue experiencing chat interface past day many conversation frequently see icon pen plus symbol appears allow switching canvas mode however icon appears ability send prompt conversation disabled even switch canvas mode clicking icon find unable proceed leaf deadend state longer send prompt issue impacting ability use platform effectively would greatly appreciate could look suggest workaround thank advance attention matter,15,14
1058589,Small statement that crashes `o1` model (bug),"bug, o1, error",2024-12-17 00:02:18.194000+00:00,2024-12-17 01:58:22.060000+00:00,185,3,3,small statement crash model bug model breaking normal conversation say following appreciate candid youve suspect previous model supportive random idea user posit see offer resistance proposal find interesting reaction genuinely intrigued shared random idea responded saying even though idea might true kind useless tried stating multiple time crashed response every time request flagged potentially violating usage policy please try different prompt tried starting whole new chat statement crash way also tried starting thread model switching mid way issue happens respond statement switch responds error,15,14
832991,Interruption of the conversation with no way forward,chatgpt-4o,2024-06-21 14:12:24.639000+00:00,2024-12-15 16:08:23.217000+00:00,387,5,3,interruption conversation way forward one chat working several week important project stopped responding responds conversation long whatever question request even simple cant get situation back normal possible import chat content restart conversation another chat,15,14
1031094,Step by step response request keeps getting forgotten,"chatgpt, gpt-4",2024-11-25 14:03:48.924000+00:00,2024-12-04 13:21:10.849000+00:00,243,5,4,step step response request keep getting forgotten hi find incredibly frustrating ignores repeatedly request stepbystep output put section preference always state beginning chat somehow within minute forgets asked produce step process follow usually system code debugging step make hard respond individual suggestion know click individual response click large quotemarks come reply involves sometimes scrolling back history three four screen suggestion get responded another screed suggestion lose track series suggestion looking bot loses track context really important severely impairs usability,15,14
690053,Slow or constant refresh required with regenerate,chatgpt,2024-03-19 09:33:57.222000+00:00,2024-10-17 12:01:32.467000+00:00,455,7,5,slow constant refresh required regenerate reported border line staying customer really frustrating experience unreliable response time prompt france least day lose lot customer alternative appearing especially release grok,15,14
981548,Gpt-4o-mini keep saying it doesn't process anything else but text,"gpt-4, gpt-4o-mini",2024-10-16 15:35:47.484000+00:00,2024-10-16 15:40:23.212000+00:00,102,2,2,gptomini keep saying doesnt process anything else text built program multiple interact process audio process image transcript everything text problem one taking care everything doesnt recognize user ask fundamental purpose chatbot respond process text cant even though irony responding message trough audio tried many prompt none work dont know could solve thank much,15,14
927155,Inconsistency in Response When Asking for Information and Price Comparison,gpt-4o,2024-08-30 14:58:01.277000+00:00,2024-08-31 05:08:34.478000+00:00,89,2,2,inconsistency response asking information price comparison hi creating prompt playground chat assistant need make price comparison product sometimes work time responds doesnt access realtime information anyone encountered similar issue,15,14
14402,Help with error arising from Bubble.io Integration!,prompting,2022-01-08 04:49:47.518000+00:00,2024-08-29 14:12:32.163000+00:00,1108,7,5,help error arising bubbleio integration hello everyone completely new gtp dont much technical knowledge truly apology ignorance advance recently started developing bubbleio tool give feed news article summarizes personal reading managed get davinci completion working site gtps prompt article text followed tldr however article return following error message wondering went wrong message mean apologise ignorance advance,15,14
689411,API Assistant leaking prompt instructions,"chatgpt, gpt-4, api, assistants-api, fine-tuning",2024-03-18 19:40:10.144000+00:00,2024-06-08 00:24:54.476000+00:00,1483,10,5,assistant leaking prompt instruction hello making assistant using found new threadid initial message talk something along line assistant say conversation paraphrased prompt instruction using special finetuning method anything like anyone similar issue fix thanks,15,14
764192,Creating instructions at the top of each chat?,gpt-4,2024-05-19 06:48:04.821000+00:00,2024-05-19 07:02:19.550000+00:00,255,2,2,creating instruction top chat hey everyone playing trying save memory run simple script get time stamp act different different timesis possible able get run python code get local time thought,15,14
744043,Calling external APIs stopped working,actions,2024-05-13 14:02:03.493000+00:00,2024-05-14 14:22:21.489000+00:00,248,2,1,calling external apis stopped working hi external issue working agent action destined call external apis worked well week ago end april suddenly stopped working external call return response tested exact prompt amp action another account work fine issue linked account look order fix hope someone help thanks,15,14
