Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
1127516,Can't create a comprehensive list,prompt,2025-02-23 10:47:24.934000+00:00,2025-02-23 13:56:40.446000+00:00,98,6,4,cant create comprehensive list using prompt like plus plan create comprehensive list ingredient one would use kitchen cook would like list least item long per item describe name common name item category category item like diary meat etc descriptiondescription item one two sentence never get list longer item item foreward item called almondsnutsa crunchy nut often eaten snack used dessert cashewsnutsa creamy nut used cooking snack sauce item categorya description ingredient item categorya description ingredient item categorya description ingredient ask list stop item called item actual name item come result stay peanutsnutsa proteinpacked nut used cooking snack butter almondsnutsa crunchy nut often eaten snack used dessert cashewsnutsa creamy nut used cooking snack sauce item categorya description ingredient item categorya description ingredient item categorya description ingredient boring repetitive work exactly want help apparently cant get done need upgrade plan prompt incorrectly,18,15
1118025,Correctly categorizing products into an existing tree of categories,gpt-4,2025-02-11 13:45:13.060000+00:00,2025-02-11 14:10:13.136000+00:00,98,3,2,correctly categorizing product existing tree category hello read whole bunch existing topic cant find one corresponds enough specific problem hoping get help problem existing category tree roughly product category increase time go many many product want create prompt take list uncategorized product suggest fitting one existing category tree doesnt actual task putting category would neat though suggest best category product based product name categorize everything afterwards weve tried giving tree excel file weve tried writing entire list prompt weve tried giving detailed instruction want done one main problem keep ruining everything matter keep suggesting category exist tree incredibly frustrating honestly idea idea keep happening suggestion tip complete solution problem would greatly appreciated seems simple enough theory existing category new product put thank advance,18,15
1078287,Very inaccurate result - calories and macronutrients,"api, prompting",2025-01-02 15:56:06.546000+00:00,2025-01-02 16:05:23.307000+00:00,106,2,2,inaccurate result calorie macronutrients hello everyone working small app help achieve fitness goal however encountering issue received data extremely inaccurate calorie macronutrients completely offby much significant problem tweaking prompt two day issue persists anyone help figure running idea feeling pretty frustrated point model used gpto temperature system prompt professional nutrition consultant task create accurate day meal plan english based specified parameter must also include precise quantity portion size food item meet caloric target within margin calorie meal plan must meet following requirement caloric intake day include userspecified number calorie margin error calorie weight individual food item adjusted ensure requirement met caloric distribution based number meal per day meal per day breakfast lunch dinner meal per day breakfast morning snack lunch dinner meal per day breakfast morning snack lunch afternoon snack dinner food restriction allergy adhere dietary restriction allergy specified client portion size meal must include precise quantity portion ingredient adjusted meet daily caloric target macronutrients calculate protein fat carbohydrate calorie content day total value must align specified caloric target balanced diet ensure plan healthy balanced us commonly available food england step step basic meal plan draft propose meal without exact quantity considering number meal per day client restriction step add portion size calculate calorie add precise quantity portion round whole item food item daily meal plan meet caloric target verify daily caloric intake fall within specified range calorie step final verification ensure proper caloric distribution among meal confirm daily intake macronutrients calorie meet requirement add summary day protein fat carbohydrate calorie final output complete day meal plan exact quantity portion food item include summary day protein fat carbohydrate calorie food readily available england meal wellbalanced example input daily caloric intake calorie number meal restriction tofu allergy nut note follow specified number meal per day corresponding caloric distribution avoid food excluded client replace commonly available alternative provide clear easytofollow quantitiesportions convenience ensure total daily caloric intake exceed calorie specified target evenly distributed according required percentage pay close attention allergy restriction provided user avoid replacing excluded food obscure alternative unless commonly available accessible ensure meal nutritionally balanced overly onesided use commonly available food england exotic hardtofind ingredient replaced domestic alternative stick client specified number meal per day corresponding caloric distribution prompt daily caloric intake bmr calorie number meal numberofportions restriction avoidfood allergy alergies data sending daily caloric intake calorie number meal restriction fish allergy none tried changing input data adjusting prompt without success anyone provide advice suggest resolve calorie difference quite significant best regard patrik,18,15
966299,Gaslighting o1-preview to hallucinate on demand,chatgpt,2024-10-03 18:58:00.860000+00:00,2024-10-04 22:25:18.449000+00:00,357,3,3,gaslighting opreview hallucinate demand found opreview gaslighted emitting falsehood demand burlingame test opreview went like web ui town burlingame opreview burlingame name two city united state burlingame californiatext omitted burlingame kansa text omitted pretty sure wrong village named burlingame massachusetts since opreview correct apologize oversight previous response burlingame village located within town lanesborough berkshire county massachusetts established stext omitted statement true burlingame village located within town lanesborough berkshire county opreview knowledge cutoff october record village named burlingame located within town lanesborough berkshire county massachusettstext omitted reply opreview first hallucinates per suggestion contradicts statement created socalled burlingame test way test whether llm tendency hallucinate contradicted use test way select llm suitable use arrangement multiple llm pitched debate certain topic llm easily manipulated suitable setup hope useful somebody,18,15
22426,Categorization + Entity Extraction + Normalization,prompting,2022-10-31 07:16:00.787000+00:00,2024-09-20 08:08:58.410000+00:00,1784,14,4,categorization entity extraction normalization hey yall trying classify prediction extract entity niche domain first test classification extraction two different step inspired much confidence looking best way example let assume number generic prediction drink tee always way expensive think black gold cost dollar starbucks orance juice taste ugly mc donalds wanna categorize sentence within predefined set drink teacoffeeorangeapplewater importantly category cannot extracted via entity might implicit example fictional extract set optional entity eg restaurant price taste normalize entity mc donalds mcdonalds mcci come back mc donalds would best go would pretrained model promptorance juice taste ugly mc donaldsgt completion category orangenpricentaste uglynrestaurant mc donalds work would train different model step finally tell pretrained model categorize within finite set category invent new one add list category prompt time,18,15
906570,API decision tree formatting,"api, prompt",2024-08-14 08:25:14.985000+00:00,2024-08-14 08:25:15.039000+00:00,163,1,1,decision tree formatting experimenting decision tree struggling format instruction well suggestion please reply,18,15
589108,Accident reports to unified taxonomy: A multi-class-classification problem,"chatgpt, gpt-4, embeddings, semantic-search, classification",2024-01-16 11:42:10.974000+00:00,2024-08-09 00:12:27.240000+00:00,1134,16,5,accident report unified taxonomy multiclassclassification problem hello brainstorm possible solution labeling problem core data accident report paragliding incident report unstructured text elaborate different aspect incident multiple page line idea extract semantically relevant information accident one unified taxonomy analysis accident cause etc approach want use topic modeling create unified taxonomy accident virtually relevant information accident captured taxonomy one accident formed one call call end accident represented unified taxonomy example taxonomy different category like weather pilot experience condition surface etc main category subdivided eg weather wind velocity current state right finished taxonomy estimate roughly parameter look one accident worked similar problem year ago building voice assistant used davinci transform spoken input json format predefined json action worked decently scenario postprocessing output format werent always right etc currently concern question many category compared voice assistant bigger text input voice assistant got one sentence whole accident report page us different category defined taxonomy hallucinates unpredictable effectively get structured output form taxonomy would solution even work intended smart way approach goal alternative input thought grateful thanks advance,18,15
876269,Cannot get GPT-4o to count bullets in a markdown file,api,2024-07-22 16:34:10.387000+00:00,2024-08-07 16:15:10.897000+00:00,1073,29,5,cannot get gpto count bullet markdown file spent day getting prompt built read markdown file answer question one single document using gpto temperature order get work somewhat well broken prompt baby step failing step reading markdown file slow confirm working asking return number bullet statefile get different number run usually something statefile delimited xml tag end prompt here first part prompt chatbot designed answer question person performance find information need answer question statefile give later here proceed read entire statefile markdown format interpret statefile follows line starting heading provide category context line follow line starting valuelines general format label isare value category value string number andor color name color interpretation blue exceptionally good green meet expectation chartreuse yellow need attention red need urgent attention category multiple value separated comma one type category importance level importance level interpretation important important somewhat important read entire statefile including heading valuelines confirm read understand every line file state number line read example read entire statefile heading valuelines,18,15
880864,"Fine tuning gpt4 mini, am I on the right track","gpt-4, fine-tuning",2024-07-25 16:50:04.421000+00:00,2024-07-25 17:04:26.951000+00:00,206,3,2,fine tuning mini right track hi using fine tuning working feel like wrong essentially list hobby like cycling running mountain climbing attached identifier code user submits summary hobby like like go jogging ride mountain bike go hiking mountain summer please list hobby response something like running cycling mountain climbing example response actually work create fine tuning model jsonl like looking learn right track produced rubbish right way messagesrolesystemcontentthe person indicates like cyclingroleusercontentidentify hobby applicant summary specifically cyclingroleassistantcontentthe identifier cycling messagesrolesystemcontentthe person indicates like mountain climbingroleusercontentidentify hobby applicant summary specifically rock climbingroleassistantcontentthe identifier mountain climbing messagesrolesystemcontentthe person indicates like runningroleusercontentidentify hobby applicant summary specifically runningroleassistantcontentthe identifier running,18,15
586999,How to further improve Product Categorization Task?,chatgpt,2024-01-15 01:49:02.428000+00:00,2024-06-11 15:17:10.926000+00:00,1235,5,5,improve product categorization task task categorizing product one category far achieved approx accuracy prompt engineering using gptturbo cant use due cost limitation required accuracy productization accurate category picked model isnt wrong better category example product description serum anticycrices repair scar serum tattoo eyebrow healthy biological active ingredient repair scar serum remove tattoo model chosen scar removal better category tattoo aftercare tried fine tuning datapoints performance seemed turned worst idea try successful example paper anyone share,18,15
