Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
1156670,Proper formatting for fine-tuning dataset,"api, fine-tuning, json",2025-03-30 03:58:17.803000+00:00,2025-03-31 16:43:13.692000+00:00,109,3,2,proper formatting finetuning dataset tried write shell script would take user assistant message input output jsonl file finetuning tried using format validation script script retuirning traceback wonder jq formatting json there easy way fix formatting would good script binbash define output file output_filefine_tuning_datajsonl ensure output file empty starting gt output_file prompt user input echo enter training data type exit finish true read p user user_input user_input exit break fi read p assistant assistant_response create jsonl formatted entry json_entryjq n arg u user_input arg assistant_response message role system content system_message role user content u role assistant content append output file echo json_entry gtgt output_file done echo data saved output_file sample entry message role system content system_message role user content user_message role assistant content assistant_message,6,7
693897,How to create a correct JSONL for training,"api, gpt-35-turbo",2024-03-22 14:12:56.870000+00:00,2025-02-27 14:56:06.503000+00:00,10836,15,5,create correct jsonl training hi new would like instruct gptturbo generate simple json structure contain example field value user list field example brand color size way brand brand color red size big brand brand color red size big color red brand brand size big response request json structure example brand brand colorred sizebig know train create jsonl clear content write example content following prompt brand completion brand prompt brand completion brand prompt color completion color prompt color completion color prompt size completion size prompt size completion size file user write request obtain json structure field thank regard roberto,6,7
1130324,How do structured outputs via functions or response_format actually get processed in the prompt?,api,2025-02-26 14:40:44.722000+00:00,2025-02-26 14:40:44.785000+00:00,73,1,1,structured output via function response_format actually get processed prompt seen variation question asked dont believe seen direct answer curious output schema passed using either function parameter response_format parameter anyone know get passed inference ie model process system user prompt string output schema hood instruction adhering deep internal serialization schema help would appreciated,6,7
1071776,How can I get Open AI to produce consistently formatted responses,gpt-4,2024-12-26 22:01:00.300000+00:00,2025-01-20 14:15:00.480000+00:00,453,5,5,get open produce consistently formatted response calling conversationappendsystemmessage passing following generate detailed soap note following transcript doctor patient however first example soap note example transcript please follow general format put long example xml tag named exampletranscript put example soap note xml tag named examplesoapnote put actual transcript xml tagged named actualtranscript worked day started regurgitated example soap note verbatim provide example soap note engine creates soap note different formatting verboseness time,6,7
1067950,"{ ""type"": ""json_object"" } not always working",gpt-4,2024-12-25 10:43:36.852000+00:00,2025-01-02 11:02:33.740000+00:00,390,6,4,type json_object always working running chat completion using option type json_object model gpto additionally role system prompt section say response json format make sure double quote newline character within json property string value properly escaped whole prompt extracting summary contact data document however frequently get back response valid json format since eg double quote new line escaped thus corrupting json format known problem gpto something wrong,6,7
1067875,How to use new JSON mode to output json and text whenever required,api,2024-12-25 09:00:07.232000+00:00,2024-12-25 10:31:28.092000+00:00,81,2,2,use new json mode output json text whenever required hey would like use json mode also want model return text json case case way make model return text json whenever suitable,6,7
1045058,Few-Shot Prompting with Structured Outputs,"chatgpt, gpt-4, api",2024-12-06 10:03:24.593000+00:00,2024-12-07 13:23:42.059000+00:00,1093,2,2,fewshot prompting structured output hey everyone new wondering give fewshot example using structured output approach serialize json string convert structured output json string use content fewshot example import pydantic import basemodel client openaiopenaiapi_keyapi_key class examplebasemodel field_ str field_ str few_shot_examples role user content example user query role assistant content field_ field one example text field_ field two example text message role system content helpful assistant few_shot_examples role user content actual user query response clientbetachatcompletionsparse modelgpto messagesmessages response_formatexample approach use python string representation object instead json string represent structured output python object string form few_shot_examples role user content example user query role assistant content examplefield_field one example text field_field two example text stick json string use python string representation better way provide example thanks advance,6,7
1024647,Improve analysis of structured (JSON) data,"gpt-4, api",2024-11-19 23:24:43.499000+00:00,2024-11-20 12:34:15.124000+00:00,415,4,3,improve analysis structured json data using mini answer question based json data include prompt half time return information exist original json data return value mismatched example document_id text_summary dont go together someone please give tip improve performance issue occur less frequently tried explaining json file structure prompt flattening json there nested data using cleardescriptive value label prompting warned mistake lowering temperature,6,7
910921,Does ChatGPT understand indented JSON better than minified?,"code-interpreter, json",2024-08-17 06:50:56.132000+00:00,2024-11-03 06:49:59.129000+00:00,2408,24,5,understand indented json better minified wondering better parsing indented json v minified json code general looking application would involve asking natural language question largeish json objets could see better understanding indented json indentation need lot less context see deep something hierarchy look many space came last newline feel like indentation redundant may serve cue would make easier interpret structure hand kind tokenburner claim perfectly happy minified json ask anyone experimented good reason believing one side,6,7
966930,How to prompt GPT to remove unnecesary characters?,"gpt-4, prompt, prompt-engineering",2024-10-04 09:17:24.054000+00:00,2024-10-04 14:06:37.653000+00:00,150,3,2,prompt remove unnecesary character hey guy use extract information return json format use programmatically case somebody put name like source extract first name ltfirstname last name lastname want extract like firstname firstname lastname lastname tried adding system user prompt leave unnecessary formatting cap doesnt lead desired result system prompt information retrieval machine take unstructured text structure according provided json schema output json idea,6,7
