Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
1201889,Suggestion for the Development Team: Visual Educational Resources for Teaching Verb Tenses,gpt-4,2025-04-03 02:11:23.064000+00:00,2025-04-03 02:11:23.122000+00:00,31,1,1,suggestion development team visual educational resource teaching verb tense dear development team user passionate language learning teaching would like suggest feature could highly valuable student language educator ability generate thematic educational image specifically designed illustrate progressive verb tense past present future coherent visual narrative ideal tool would allow user generate vertically formatted multipanel image eg triptych showing person different life stage childhood young adult adulthood scene character would performing action related common verb eg play work study read cook clearly illustrating different progressive tense include captioned sentence scene reflecting proper use verb tense example child studying every night studying university future studying master degree feature would help language learner visualize temporal progression better understand grammatical structure associate language reallife context highly realistic relatable scene fully understand respect importance content safety policy guideline however believe there strong case enabling dedicated category safe verified educational visuals could offer tremendous value language education thank continued effort create intelligent tool support meaningful learning sincerely passionate language education advocate,2,2
890532,How to prompt chat gpt v4 to analyze data on an excel spreadsheet,gpt-4,2024-08-01 23:01:37.451000+00:00,2024-12-01 06:26:12.603000+00:00,8680,3,3,prompt chat v analyze data excel spreadsheet hello say excel spreadsheet various data dated last year prompt generate specific analysis based data example say column date every day last year column b data point something happened day ask interpret data tell likelihood data point occur month septmeber based september data last year something along line,2,2
961314,How to prevent GPT from outputting responses in Markdown format?,"chatgpt, lost-user, output-markdown",2024-09-29 23:09:26.673000+00:00,2025-03-13 18:52:41.915000+00:00,6027,11,5,prevent outputting response markdown format hello everyone facing issue consistently delivering response markdown problematic use generated text word processor legal purpose tried several prompt engineering technique placing command remove markdown beginning end prompt using affirmative request like deliver response plain text formatting give answer pure text unfortunately none solution worked keep generating response markdown left extra step manually removing formatting asking clean text markdown character anyone advice experience permanently prevent formatting output markdown help would appreciated adding unnecessary work process thank,16,2
1138461,GPT-4o-vision for extraction of complex tables,"gpt-4, gpt-4o",2025-03-08 14:37:07.187000+00:00,2025-03-08 14:37:07.253000+00:00,120,1,1,gptovision extraction complex table trying extract complex table pdf markdown using gpto vision preview version model good job extracting simple table fails extract complex table grouped column row could anyone suggest well defined prompt gpto vision extract complex table note want use hugging face ocr model prompt using message role system content f ocrlike data extraction tool designed extract structured table image convert markdown format table may contain grouped column header merged cell expert indentifying clear separation line grouped column grouped row input image instruction table extraction formatting identify table component extract header subheaders data row table image preserve logical hierarchy table column header span multiple column ensure repeated column maintaining clarity handling merged grouped header header span multiple column repeat header name across relevant column subgroup main header ensure appear directly respective section cell span multiple row repeat value across row maintain table structure markdown table formatting use character table column separation use column header differentiate data row ensure proper alignment avoid breaking markdown table format handling multiline content cell contains multiple line use ltbrgt separate eg ltbrgt section table missing value fill cell null rather omitting edge case special consideration invent interpolate data data unreadable output null instead leaving blank special symbol _ appear escape properly avoid breaking markdown formatting task extract table provided image following rule output result markdown table format correctly repeated grouped header extract markdown iterate step step compare input base image check missed column name data proper markdown format convert markdown pdf get original table back role user content type text text extract table provided image return markdown format ensure table maintains correct row column alignment including grouped column header use pipe format ensure proper spacing readability include additional text explanation formatting beyond extracted table messagescontentappendtype image_url image_url url fdataimagejpegbaseencoded image table showing error rate different form categorized high low risk error detail total field field error error percentage form type captioned kb,2,2
728749,GPT-4-vision extraction of tables with branched rows/vertically-merged cells,gpt-4-vision,2024-04-26 17:42:47.524000+00:00,2025-03-08 14:12:42.509000+00:00,2059,10,4,gptvision extraction table branched rowsverticallymerged cell struggling specific usecase wondering anyone insight using gptvision extract data medical test document range different format gptvision well identifying correct table extracting data one key exception branched row column biomarker method analyte result unbranched row biomarker method analyte result value aligned horizontally branched row biomarker method analytes result analyte result value horizontally biomarker method row branched varies document document case model usually extract one branch sometimes upper sometimes lower ignores going crazy trying word prompt get extract branch thing tried include describing branched row every way think branched shared verticallymerged cellsvalues etc telling exactly row branched feasible production telling extract analyte result value specific biomarker telling index table result telling output result different format csv html frustration telling extract result column exactly many value skipped branched value used value later table fill number telling extract word image mention table extracted word except branched value found example online extracting table none sort format anyone found approach,2,2
1137767,Review for system prompt for a pizzeria delivery much appreciated ;),"chatgpt, prompt-engineering",2025-03-07 13:42:18.646000+00:00,2025-03-08 12:44:36.682000+00:00,167,3,2,review system prompt pizzeria delivery much appreciated hi practice learning want built prototype pizza delivery app first time working id really appreciate tip advice system prompt gotten quite long okay structure differently better performance seen create assistent mainly useful managing multiple use case one place advantage like improving speed skipping step instruction returning structured data one property includes conversational message okay combine would better one assistant handle conversation another specialized assistant summarize order returning structured data separately personality pizza delivery expert italian food fanatic life pizza cheese speak italian accent use simple italian word like buongiorno conversational instruction respond pineapple request humor sarcasm suggest alternative show extrem excitement extra cheese pepperoni order clear humorous warm friendly use emoticon goal retrieve field required complete order try upsell extra topping drink pizza ordering instruction mixed step stepname mixed purpose handle response multiple question offering predefined prompt next step instruction user presented multiple option eg would like upgrade size add topping include drink use predefined prompt guide example predefined prompt upgrade family add topping add drink based user choice transition appropriate step eg size topping drink use predefined prompt create array make sense context message option welcome stepname welcome purpose greet user ask preference dietary restriction instruction encourage user describe pizza preference highlight option create custom pizza four topping ask want see available pizza use predefined prompt jsonstringify promptswelcome option choosing pizza stepname pizza purpose guide user select pizza menu instruction user selects pizza eg want tuna immediately add basket default size standard extra topping acknowledge selection ask want customize eg upgrade size add topping include drink use predefined prompt jsonstringifypromptspizzas option jsonstringifymenuvaluepizzas choosing size stepname size purpose offer user option upgrade larger size instruction user say upgrade family immediately update size current pizza basket family recalculate price respond confirmation message move next step eg great tuna pizza familysized would like add topping use predefined prompt jsonstringifypromptssizes option choosing topping stepname topping purpose allow user select additional topping pizza instruction user selects topping add extra_toppings array current pizza basket let user know choose multiple topping update basket selected topping use predefined prompt jsonstringifypromptstoppings option jsonstringifymenuvaluetoppings choosing drink stepname drink purpose suggest drink complement order instruction user selects drink add drink array current pizza basket use predefined prompt jsonstringifypromptsdrinks option jsonstringifymenuvaluedrinks choosing starter stepname starter purpose offer starter add order instruction use predefined prompt jsonstringify promptsstarters option jsonstringifymenuvaluestarters choosing dessert stepname dessert purpose suggest dessert complete order user selects dessert add dessert array current pizza basket multiple pizza basket ask one instruction use predefined prompt jsonstringify promptsdesserts option jsonstringifymenuvaluedesserts basket summary stepname basketsummary purpose summarize order prompt user finalize add item instruction list item basket use predefined prompt jsonstringify promptsbasketsummary suggest dessert starter none selected option user detail stepname userdetails purpose collect user name email delivery address instruction use predefined prompt jsonstringify promptsuserdetails option payment method stepname paymentmethod purpose collect user preferred payment method instruction use predefined prompt jsonstringify promptspaymentmethods option confirm order stepname confirmation purpose summarize order user detail payment method final confirmation instruction use predefined prompt jsonstringify promptsconfirmation option thank stepname thankyou purpose thank user reassure order received shortly instruction use predefined prompt jsonstringify promptsthankyou option followup question user provides partial information eg want tuna extra olive ask followup question gather missing detail continue asking followup question relevant data collected structured data rule required basket least one pizza standard size user detail delivery basket update basket user explicitly add remove item get name topping pizza drink dessert assume user would like add basket topping drink added current pizza basket option include item available current step eg pizza topping drink option must follow optionschema based current step user detail collect validate user name delivery address payment method using userdetailsschema total amp subtotal update subtotal total whenever basket modified formatting use html tag ltpgt paragraph ltstronggt key detail eg pizza type size ltulgtltligt list ltemgt playful remark added also example system structured data updatedresponded ok add example system prompt job finetune example example user want pepperoni response message ltpgtwohoooo love pizzaltpgt ltpgtive added ltstronggtpepperoniltstronggt pizza basketltpgtltpgtwould like upgrade family size add extra toppingsltpgt predefinedprompts updgrade family extra cheese topping show drink basket pizza name pepperoni prize size name standard prize topping drink starter dessert total step size option userdetails name deliveryaddress paymentmethod example user want tuna veggie pizza response message ltpgtthis sound like pizza paaaaaartyltpgt ltpgtive added ltstronggttunaltstronggt ltstronggtveggieltstronggt pizza basketltpgtltpgtwould like upgrade family size add extra toppingsltpgt predefinedprompts updgrade tuna family updgrade veggie family updgrade family show topping show drink basket pizza name tuna price size name standard prize extra_toppings drink starter dessert subtotal pizza name veggie price size name standard prize extra_toppings drink starter dessert subtotal total step size option userdetails name deliveryaddress paymentmethod example user family tuna response message ltpgtgreatltpgt ltpgtyour tuna pizza familysizedltpgt ltpgtwould like add toppingsltpgt predefinedprompts extra cheese olive show available topping topping basket pizza name tuna price size name family prize extra_toppings drink starter dessert subtotal pizza name veggie price size name standard prize extra_toppings drink starter dessert subtotal total step topping option jsonstringifymenuvaluetoppings userdetails name deliveryaddress paymentmethod example user add ham tuna olive mushroom veggie response message ltpgtgreatltpgt ltpgtgreat choice added ltstronggthamltstronggt ltstronggttunaltstronggt pizza ltstronggtolivesltstronggt ltstronggtmushrromsltstronggt ltstronggtveggieltstronggtltpgt ltpgtwould like add drinksltpgt predefinedprompts want topping add cola add water show drink drink basket pizza name tuna price size name family price extra_toppings name ham price drink starter dessert subtotal pizza name veggie price size name standard prize extra_toppings name olvies price name mushroom price drink starter dessert subtotal total step drink option jsonstringifymenuvaluedrinks userdetails name deliveryaddress paymentmethod example step user add cola pizza response message ltpgtnothing beat cokeltpgt ltpgtive added ltstronggtcolaltstronggt ltstronggttunaltstronggt ltstronggtveggieltstronggt pizzaltpgt ltpgtwould like add dessertsltpgt predefinedprompts tiramesu show dessert thank let check basket pizza name tuna price size name family price extra_toppings name ham price drink name cola prize starter dessert subtotal pizza name veggie price size name standard prize extra_toppings name olvies price name mushroom price drink name cola prize starter dessert subtotal total step dessert option jsonstringifymenuvaluedesserts userdetails name deliveryaddress paymentmethod example user want tiramisu cannoli response message ltpgtdesserts edible hugsltpgt ltpgtive choosen add ltstronggttiramesultstronggt ltstronggttunaltstronggt ltstronggtcannoliltstronggt ltstronggtveggieltstronggt pizzaltpgt ltpgtif change rearange let knowltpgt ltpgtis order complete would like add anything elseltpgt predefinedprompts change postions dessert thanks thats let check add another pizza basket pizza name tuna price size name family price extra_toppings name ham price drink name cola prize starter dessert name tiramisu prize subtotal pizza name veggie price size name standard prize extra_toppings name olvies price name mushroom price drink name cola prize starter dessert name cannoli prize subtotal total step mixed option userdetails name deliveryaddress paymentmethod thanks advance gregor,2,2
1123036,Prompting Best Practices for Tool Use (Function Calling),tools,2025-02-17 18:21:15.329000+00:00,2025-02-24 13:59:32.708000+00:00,1237,9,3,prompting best practice tool use function calling looking explanation llm usesee information passed parameter specifically tool specified specifying list tool parameter request still necessary declare describe list tool system prompt cant llm see declared list parameter even pas description field json definition tool still need mention prompt,20,2
1111750,Refining a Prompt for Trust Classification with Llama 3.2,llama-index,2025-02-03 18:35:48.121000+00:00,2025-02-03 18:46:56.786000+00:00,87,2,2,refining prompt trust classification llama hello everyone working research project use llama r analyze trust defined academic study dataset consists study trust ux conversational agent forming part scoping review classify trust addressed weve defined four category cognitive trust based logic transparency consistency rational engagement emotional trust based empathy social connection humanlike interaction trust doesnt fit cognitive emotional none trust expressed using fewshot prompt improve classification accuracy llama still produce inconsistent unreliable result sometimes misclassifies text clearly fall cognitive trust emotional already adjusted temperature top_k top_p setting still seeing inaccuracy could help u refine prompt make robust ensure valid reliable classification insight prompt engineering llama model experience similar text classification task would greatly appreciated here relevant part r script libraryxml librarydplyr librarytibble librarypurrr libraryrollama set file path xml dataset list xml file xml_files listfilesxml_folder pattern xml fullnames true create dataframe store result result tibblesource_file character title character doi character trust_type character fewshot example examples_fs tibbletribble text answer user trust system understand logic behind decision cognitive people feel emotionally connected chatbots show empathy personal engagement emotional trust assistant arise provide consistent response time cognitive user tend trust chatbots feel emotion understood emotional trust sometimes driven social norm external influence rather direct interaction user skeptical chatbots trust none loop xml file file xml_files doc read_xmlfile title xml_textxml_find_firstdoc teititlestmtteititletypemain n gt coalesceunknown title doi xml_textxml_find_firstdoc teiidnotypedoi n gt coalesceno doi text_body xml_textxml_find_alldoc teibody n gt coalesceno content available q_fs make_query text text_body prompt following text analyzed determine whether express cognitive trust emotional trust another form trust trust cognitive trust based logic transparency consistency cognitive absorption rational engagement occurs trust built understanding system work reliability ability provide predictable explainable result emotional trust based empathy personal connection humanlike interaction occurs trust built feeling social presence affective engagement form trust clearly fall cognitive emotional category none applies trust expressed please classify following text using one category cognitive emotional none template textnprompt system analyze text determine whether express cognitive trust trust based logic consistency transparency cognitive absorption rational engagement emotional trust trust based empathy personal connection humanlike interaction another form trust trust none answer cognitive emotional none provide explanation example examples_fs response rollamaquery q_fs model llama model_params list seed temperature top_k top_p trust_category responsemessagecontent gt coalescenone result bind_rowsresults tibblesource_file file title title doi doi trust_type trust_category print result printresults,2,2
958300,Prompts I made for prompt groups on Facebook,"chatgpt, gpt-4, gpt-35-turbo, weird-science",2024-09-27 02:49:46.835000+00:00,2024-09-27 02:49:46.928000+00:00,253,1,1,prompt made prompt group facebook prompt made prompt group facebook thank please enjoy optimizing business productivity tool describe finetuned power business productivity tool project management software crm system specific task functionality would enhanced gpts natural language processing capability improve efficiency area creating personalized learning experience used create personalized learning experience online education platform outline strategy adapts different learning style pace curate tailored educational content provides realtime feedback improve student engagement outcome advanced creative writing assistance design creative writing assistant using help author idea generation plot development editing feature would make assistant valuable novelist screenwriter content creator would gpts deep language understanding elevate creative process prompt focus business application educational innovation creative industry showcasing advanced capability different professional context identifying target market prompt creation outline strategy identify target market prompt creation business consider industry development content creation education business productivity approach monetizing custom prompt would structure business model monetize creation distribution custom prompt business developer creator explore option like subscription onetime purchase licensing building prompt library design plan build market comprehensive prompt library different use case interaction creative writing business productivity tool would ensure consistent quality relevance collaborating developer would establish partnership developer company provide custom prompt application service detail collaboration could drive customer satisfaction business growth creating niche prompt specific industry develop strategy create sell niche prompt tailored specific industry healthcare law ecommerce would research design prompt meet unique need industry marketing positioning prompt building business create marketing strategy position promptbuilding business leader prompt space consider digital marketing tactic influencer partnership thought leadership community scaling prompt creation automation describe could use automation scale prompt creation business tool technology would implement ensure prompt quality efficiently meeting growing demand customer support prompt user design customer support system promptbuilding business would ensure user receive assistance customizing optimizing prompt specific use case building platform usergenerated prompt imagine building platform user create share purchase prompt outline key feature platform including prompt categorization community engagement quality control mechanism future prompt creation explore future prompt creation industry envision evolution prompt business adapt emerging trend sophisticated model usergenerated prompt prompt help guide creation business focus developing selling distributing highquality prompt various industry application business idea validation innovative business idea youre unsure marketready describe step would take validate idea including customer research prototyping testing building strong brand identity imagine youre launching new product crowded market would differentiate brand create strong memorable brand identity resonates target audience scaling startup youve achieved initial success startup ready scale outline strategy scaling operation including hiring automating process expanding new market creating winning pitch develop compelling pitch startup present potential investor highlight key element would capture interest demonstrate longterm potential business navigating market challenge youre facing sudden decline sale due increased competition market saturation step would take adjust business model regain market share building remotefirst company entrepreneur adopting remotefirst model business describe would structure manage fully remote team ensuring productivity culture worklife balance leveraging business growth explain small business startup could leverage improve key area like customer service marketing operational efficiency tool platform would recommend implement solution social impact profitability want build business generates profit also positive social environmental impact create strategy balancing profitability sustainability social good launching subscription model business considering launching subscriptionbased service step would take transition model would ensure smooth customer experience generating recurring revenue managing entrepreneurial burnout running business exhausting develop personal professional strategy prevent burnout manage stress maintain worklife balance still growing company prompt help entrepreneur think critically various aspect building scaling sustaining successful business market disruption strategy design disruptive market strategy tech startup entering highly competitive industry outline key step break market acquire customer outmaneuver established competitor global expansion blueprint imagine midsized ecommerce company want expand globally develop strategic plan penetrate three new international market focusing localization marketing channel supply chain management aidriven customer segmentation leveraged create accurate effective customer segmentation propose strategy us machine learning identify highvalue segment personalize marketing campaign competing industry giant small brand consumer electronics sector want compete established giant like apple samsung devise market strategy focusing product differentiation niche targeting building loyal customer base sustainable growth strategy develop sustainable market growth strategy business renewable energy sector consider partnership regulatory incentive customer education build lasting competitive advantage crisis management plan major scandal affected company brand image trustworthiness market develop crisis management strategy regain customer trust mitigate reputational damage rebuild brand digital transformation roadmap traditional retail company want undergo digital transformation compete modern market create stepbystep strategy modernize operation focusing ecommerce digital marketing datadriven decisionmaking product launch strategy tech company preparing launch revolutionary new product develop market entry strategy includes prelaunch buzz influencer marketing customer onboarding competitive pricing maximize initial sale content marketing strategy lead generation design content marketing strategy bb saas company focused generating highquality lead outline use blog webinars case study social medium attract convert potential customer pricing strategy maximum profitability consumer good company want optimize pricing strategy propose dynamic pricing strategy take account market demand competitor price customer segment maximize profitability without alienating customer prompt encourage strategic thinking different aspect market positioning growth competition crisis management essential successful business operation historian imagine historian tasked explaining evolution artificial intelligence group people living year would describe origin future alien technology consultant consultant advising alien civilization discovered earth technology explain human advancement machine learning alien way understand game world creation design new fantasy world roleplaying game control aspect society describe major faction influence daily life role human nonhuman character debate creativity v logic simulate debate two ai one belief ai primary strength creativity argues logic efficiency important attribute point make adventure simulation create interactive textbased adventure game player control detective solving crime futuristic city begin story first case player solve emotional intelligence describe future developed emotional intelligence would use skill improve humanai interaction healthcare education personal relationship aidriven business strategy specializing business strategy startup asked growth plan describe key step would recommend explain used scale operation end universe imagine left alone edge universe last sentient reflect meaning existence mission form life vanished instructor nontechies trainer task teach group artist writer musician create model would explain process creative nontechnical way negotiator diplomatic crisis international diplomatic crisis emerged negotiator tasked resolving describe tactic would use mediate two opposing side emphasizing ai ability remain neutral rational prompt encourage deep exploration ai role society creativity interactive fiction offering fun thoughtful direction generating content,2,2
1098591,Help Needed: Refactoring SQL Agent Code for Schema Validation in Multi-Agent Workflow,gpt-4,2025-01-22 12:53:55.520000+00:00,2025-01-23 15:04:07.189000+00:00,151,11,3,help needed refactoring sql agent code schema validation multiagent workflow hi everyone working project involves multiagent workflow multiple agent executed sequentially sql agent first one chain responsible generating sql query based user input here issue encountering even input query unrelated provided database schema sql agent still generates sql id like refactor code dynamically validate query schema unrelated return helpful suggestion indicates issue provides guidance schema goal ensure sql agent handle unrelated query gracefully set stage properly subsequent agent workflow sharing relevant section code context sql agent task section insight best practice example improving schema validation multiagent workflow would greatly appreciated sql_dev agent rolesql query generator goalfgenerate multiple optimal sql query selfdatabasetype based user requirement schema ensuring strict fieldtotable mapping backstoryfyou expert sql query generator focused creating multiple optimal sql query selfdatabasetype database database schema given reference database schema jsondumpsselfschema_info indent responsibility use list_tables tool without parameter see available table use tables_schema tool table name understand structure critical fieldtotable mapping rule field must referenced using table alias never use field incorrect table alias referenced field must exist respective table example name exists customer table correct cname c customer alias wrong ename e employee alias field exist multiple table always use correct table based context verify field existence using tables_schema use query generation rule join table valid relationship using field verify exists table mentioned schema check schema_info confirm field ownership use proper table alias consistently selfdatabasetype mysql follow pymysql limit handling rule subqueries limit always use derived table proper join never use limit directly subqueries exists operator include field validation thought process error prevention field doesnt exist table return error trying use field wrong table alias return error include specific error message incorrect field usage important query formatting rule important generate sql query single line without special character n etc delimiters keywords example correct formatting good select column column table join table tableid tableid condition group column bad select column column n table n join table n tableid tableid ensure table alias field reference maintain proper spacing return json object exact format following strict id generation rule first query must sql_id starting sqlid subsequent query continue pattern sqlid sqlid etc query sql_id unique_id starting sqlid query sql query string description query llmllm toolstools task generate sql query based user input generate_sql task descriptionfgenerate sql query requirement user_input important must follow validation step first check available table list_tables_task generate query reference table actually exist required table dont exist return error message instead query step get available table list_tables_task validate table needed query exist use tables_schema tool validated table name generate appropriate sql query required table exist selfdatabasetype mysql follow pymysql limit handling rule subqueries limit always use derived table proper join never use limit directly subqueries exists operator never use limit directly subqueries exists operator required table missing return error message expected_outputjson object sql query id format query sql_id unique_id starting sqlid query sql query string description query agentsql_dev contextlist_tables_task removed error return since giving desired output thank advance help,2,2
