Post ID,Title,Tags,Created At,Last Activity,Views,Replies,Participants,Lemmatized Post,Topic,Merged_Topic
1075454,"Assistant referring to ""the files uploaded"" in the vector store",assistants-api,2024-12-30 10:31:31.765000+00:00,2025-04-04 00:17:06.296000+00:00,247,7,5,assistant referring file uploaded vector store hi using assistant created vector store contains reference material assistant draw answer user query file vector store contain information relevant query use otherwise answer general knowledge problem assistant find answer file tell user file didnt contain information dont want example file provided contain x seems file uploaded contain detailed instruction x document specifically mention x additional context end user know care file vector store want answer query suggestion tried adding various instruction prompt eg access attached file use answer user query relevant information file answer general knowledge doesnt help,10,3
565091,Avoid explicit mention to retrieval and assistant files,"assistants-api, rag, knowledge-files",2023-12-19 16:51:29.408000+00:00,2025-04-03 15:41:44.764000+00:00,2050,8,5,avoid explicit mention retrieval assistant file hi everyone assistant retrieval tool file associated want assistant use information file rag done behind scene see assistant often say thing like hello see youve uploaded several file assist today document someone found way prevent assistant saying thing like use case assistant file created beforehand uploaded user tried adding thing like instruction luck user upload file therefore must never mention simply used behind scene obtain useful information relevant conversation never make reference file directly using model gptturbo way thanks advance,10,3
329066,Document Sections: Better rendering of chunks for long documents,"vector-db, semantic-search",2023-08-25 03:34:02.927000+00:00,2025-04-01 13:02:47.430000+00:00,31031,67,5,document section better rendering chunk long document wanted share community work around retrieval augmented generation rag using long form document developed new technique called document section feel superior traditional technique employed today here example chunk returned vector db like pinecone chunk output vectra local vector db project query small corpus document team library designed image kb query storage work see chunk relevant theyre completely order traditional rag approach add text chunk document order theyre returned search engine fill context many chunk token budget allows chunk often additional token well added context result duplicated token presented model let look query returned text organized document section image kb everything correct order free duplicated token order doesnt always matter model youre asking model question like step xyz task order super important showing model step order result model telling user wrong sequence follow example top document small renderer chose return section containing entire document text longer document renderer us chunk essentially find span document text likely contain user answer think using chunk create sort heatmap relevant part document return span text document section renderer passed desired size section token budget number section return rag implementation send single set chunk model ask answer user question work simple question interested model answer complicated question way human would plan ask document section present section model parallel going ask draw initial conclusion relative user question present conclusion model generate final answer algorithm work chunk contain startpos amp endpos offset documentid text stored chunk keep chunk small possible original text stored externally need retrieved render time algorithm first sort chunk startpos theyre document order group chunk section based token count chunk pas made merge adjacent chunk section algorithm calculates remaining token budget fetch additional text fill gap around section text span essentially make overlap text dynamic maximizes density returned section score chunk within given section averaged section returned sorted based average score end result get back one section contiguous text likely contain user answer number way algorithm could improved happy dive anyone interested here link algorithm interested githubcom stevenicvectrablobmainsrclocaldocumentresulttsl public get chunk queryresultltdocumentchunkmetadatagt return this_chunks public get score number return this_score public async rendersectionsmaxtokens number maxsections number promiseltdocumenttextsectiongt load text disk const text await thisloadtext first check see entire document less maxtokens const token this_tokenizerencodetext tokenslength lt maxtokens return text tokencount tokenslength score,17,3
1157044,Best format to upload a construction plan for extraction of info,"chatgpt, gpt-4, pdf",2025-03-30 08:09:01.249000+00:00,2025-03-30 13:33:45.867000+00:00,126,7,2,best format upload construction plan extraction info hello using chatgpto trying read construction plan chat extract information plan paper image x pixel tried uploading pdf say cant read text pdf tried uploading jpg get resized information get lost zip file image recommended didnt provide good result tried uploading tiff long loading time got response look like system repeated issue processing ocr step due technical constraint large image size also tried dwgpltdxf feel like jpg tiff would best solution might heavy analyze chat recommendation start going circle option,17,3
496562,Can I create a promt that produce a PDF?,chatgpt,2023-11-12 07:08:39.032000+00:00,2025-03-07 03:58:22.232000+00:00,14040,16,5,create promt produce pdf building file retrieval would like import pdfs people search something relevant would produce pdf link ideally visual possible,17,3
1148146,ChatGPT Incorrect PDF Output via Railway - need help,chatgpt,2025-03-20 18:37:31.712000+00:00,2025-03-20 18:37:31.762000+00:00,25,1,1,incorrect pdf output via railway need help using railway create program output information prompt railway want information output pdf however using write code giving u error pdf output specifically trying update pdf layout anyone issue anyone help problem thank,17,3
776790,Project ideas guidance - using GPT to answer question based on private data,chatgpt,2024-05-24 12:59:09.085000+00:00,2025-03-17 05:23:38.862000+00:00,2172,13,5,project idea guidance using answer question based private data hey sure threat correct category looking bit guidance nonetheless net engineer looking learn bit python id like begin work side project incorporates open keen runner plan pull data strava store sort db would like use data private source answer question via fastest km time average distance per run last year many run km last year simple idea question would suggest use data source answer example question would connect directly database would read db every time question submitted format data pas open data source thanks advance james,13,3
879544,Assistant won't return the generated file id,gpt-4,2024-07-24 19:45:45.890000+00:00,2025-03-04 22:58:12.329000+00:00,380,10,4,assistant wont return generated file id using simple prompt upload file google drive process file new file send fileobject id new file assistant always responds object id uploaded file cant convince send object id file generated anyone else seen prompt step spreadsheet created google drive folder input call file original file create new empty spreadsheet file data store copy first row column name remember openapi object id newly generated file step send email new spreadsheet object id well original object id note object id start file new original object id must different completed task correctly latest response hello mike object id spreadsheet original object id filernsmhljeflshvvqyrd new object id filernsmhljeflshvvqyrd please note new original object id different required best regard xxxxx,10,3
1125758,"Regarding tuning, RAG and Pre-Trained models","chatgpt, fine-tuning, rag",2025-02-20 21:20:54.869000+00:00,2025-03-04 16:41:20.556000+00:00,463,36,4,regarding tuning rag pretrained model want use purpose find thing write article writing account problem right forgets thing revision want start beginning revision would prefer draft want revised put piece together want revision number refer tell revision good go back mix also want numbered revision middle way misunderstand purpose want rewind say ok start revision want tune logic regarding writing implemented tasksprojects tune task mostly usage adjective problem statement belong relation subcontext writing generall main context situation beside point teach certain logic certain kind article category writing feed reasearch paper book precise data work output understood sofar need get pretrained model start work tune specification thankful direction,13,3
1128484,Disable Assistant Citations from Vector Storage,assistants-api,2025-02-24 14:46:50.219000+00:00,2025-02-25 18:04:40.487000+00:00,86,2,2,disable assistant citation vector storage prevent assistant adding citation like datatxt end data extracted vector storage tried without much success focus providing accurate concise actionable solution vector storage without referencing source,10,3
1118419,Citing/analyzing entire books with Deep Research,chatgpt,2025-02-11 23:42:49.322000+00:00,2025-02-19 11:37:41.874000+00:00,227,2,2,citinganalyzing entire book deep research many social science researcher frequently read cite entire book instead journal article common stem research pose bit problem working deep research even giving specific link booklength text like chat shakespeare prophecy theory providing attached fulllength text like chat confucian microbiota analysis linkedattached book level material appears ignored deep research favor standard web crawl approach anyone suggestion tip workflow dealing booklevel analysis tia,10,3
1122301,Why ChatGPT dont understand what i say? His answer is out of subject,gpt-4,2025-02-16 18:21:41.784000+00:00,2025-02-18 11:25:46.992000+00:00,235,4,4,dont understand say answer subject hi really dont know keep answering useless answer ask something precise answer subject happened update really make angry keep sending message order get result,19,3
1123187,Multi-destination Vacation Planning,"gpt-4o, prompt-engineering",2025-02-17 22:50:32.287000+00:00,2025-02-17 22:50:32.347000+00:00,70,1,1,multidestination vacation planning looking tip get keep configuration itinerary conversation would change presentation format content drop info itinerary created based prompt subqequent prompt without request make change ability auto account custom clearing upon arrival foreign nation ability select right flight would fail sort travel web site score alternative destination example would list ahead even repeated asked make correction wrong sorting destination based score cannot check correct price listed web site pricing shown always wrong flight route airport work cannot suggest alternative nearby airport serving destination,13,3
22280,Read a CSV file and Parse unstructured data line by line,prompting,2022-10-26 15:45:32.426000+00:00,2025-02-11 19:02:14.534000+00:00,2861,9,5,read csv file parse unstructured data line line hi trying read csv file contains unstructured data get response line line two problem text spanish change non utf character ie nitrogeno becomes nitrufgeno text spanish translate english parses id really appreciate help need response spanish change nitrogeno nitrufgeno code using response get import panda pd import numpy np import o import openaiapi_key sk import csv open file openbasexnewjoinedcsv file_obj create reader object passing file object reader method reader_obj csvreaderfile_obj delimiter iterate row csv file using reader object row reader_obj response openaicompletioncreate modeltextdavinci prompt row temperature max_tokens top_p frequency_penalty presence_penalty printresponse data csv file table summarizing nombre comercial poliquel calcio producto fertilizante foliar origen quimico grado composicion nitrogeno total n gl nitrogeno nitrico gl calcio soluble en agua cao gl magnesio soluble en agua mgo gl boro b soluble en agua gl aditivos ineres agua edta acidos humicos lignosulfonato de sodio fuentes octaborato de sodio cloruro de calcionitrato de calcio nitrato de magnesio elementos menores secundarios calcio magnesiotipo de abono simple densidad gcm tipo de empaque tambor x litros uso especifico fertilizante simple para aplicacion al suelo mediante sistema de fertirriego segun recomendaciones de un ingeniero agronomo con base en el analisis de suelos del tejido foliar uso agronomico aplicar en cultivos frutales horticolas marca poliquel productor grupo bioquimico mexicano sa de cv mexico registro de venta concepto de insumos noai table summarizing producto fertilizante con zinc manniplex zn origen quimico grado composicion nitrogeno total n gl nitrogeno nitrico n gl zinc total zn gl carbono organico oxidable total gl ph en solucion al densidad grados c gcm conductividad electrica dsm solidos insolubles en agua gl salmonella ausente ml enterobacteria lt ufcml metales pesados por debajo de la norma actual elementos menores secundarios zinc tipo de abono fertilizante simple n densidad para disoluciones gcm tipo de empaque frasco plastico l l l l l l l l l de contenido neto uso especifico fertilizante simple n para aplicacion al suelo mediante sistema de fertiirrigacion segun recomendaciones de un ingeniero agronomo con base en el analisis de suelos de tejido foliar uso agronomico aplicacion para cultivos de cafe banano palma aguacate marca manniplex zn brandt registro de venta ica nro fecha con vigencia indefinida no acogemos al decreto del exclusion del iva mercancia nueva output choice finish_reason stop index logprobs null text nnnombre comercial poliquel calcionnproducto fertilizante foliarnnorigen quuedmiconngrado nncomposiciufn nitrufgeno total n gl nitrufgeno nitrico gl calcio soluble en agua cao gl magnesio soluble en agua mgo gl boro b soluble en agua gl aditivos interes agua edta uecidos hufamicos lignosulfonato de sodio fuentes octaborato de sodio cloruro de calcio nitrato de calcio nitrato de magnesio elementos menores secundarios calcio magnesionntipo de abono simplenndensidad gcmnntipo de empaque tambor x litrosnnuso especuedfico fertilizante simple para aplicaciufn al suelo mediante sistema de fertirriego segufan recomendaciones de un ingeniero agronomo con base en el anuelisis de suelos del tejido foliarnnuso agronufmico aplicar en cultivos frutales hortuedcolasnnmarca poliquelnnproductor grupo bioquuedmico mexicano sa de cv muexiconnregistro de venta concepto de insumos noai created id cmpldotvhoonkrwoghquylyzhth model textdavinci object text_completion usage completion_tokens prompt_tokens total_tokens choice finish_reason stop index logprobs null text nnproduct fertilizer zinc manniplex zn origin chemical grade composition total nitrogen n g l nitric nitrogen n g l total zinc zn g l total oxidable organic carbon g l ph solution density degree c g cm electrical conductivity d insoluble solid water g l salmonella absent ml enterobacteria lt cfu ml heavy metal current standard minor secondary element zinc type fertilizer simple fertilizer n density solution g cm type packaging plastic bottle l l l l l l l l l net content specific use simple fertilizer n application soil fertiirrigation system recommended agronomist based analysis soil foliar tissue agronomic use application coffee banana palm avocado brand manniplex zn brandt sale registry ica nro date indefinite validity abide decree exclusion vat new merchandise created id cmpldptrsatniekxzzlbtjghl model textdavinci object text_completion usage completion_tokens prompt_tokens total_tokens,10,3
627583,Copyright issues when asked to Summarise the Book,"chatgpt, gpt-4",2024-02-15 09:36:53.585000+00:00,2024-12-10 17:16:41.921000+00:00,2785,4,4,copyright issue asked summarise book wanted give extended summary book uploaded getting short one asked response expanding section word based specific source copyrighted book could potentially involve closely paraphrasing summarizing extensive part text risk infringing author copyright platform designed respect intellectual property right avoiding reproduction copyrighted material beyond allowed fair use guideline advicerecommendation would respect copyright,10,3
1101437,Testing pdf image scraping,"api, assistants-api",2025-01-23 16:15:50.218000+00:00,2025-01-23 16:23:08.394000+00:00,107,2,2,testing pdf image scraping testing pdf image scraping found alternative resolve closing threadtesting pdf image scraping found alternative resolve closing thread thanks thanks,17,3
1104034,"How to write a prompt - Excel file containing more than 1,000 book titles?",chatgpt,2025-01-26 16:44:05.830000+00:00,2025-01-26 22:29:16.759000+00:00,220,6,5,write prompt excel file containing book title excel file containing book title need find short information book fill table author brief description sentence book give task input single book title chat provides correct response however upload entire file process first entry return file without filling rest despite additional instruction question make complete task write prompt ensure process entire list would better configure workflow avoid sending file directly perhaps fill file via google drive another cloud platform way automate process effectively,10,3
766021,How can i refer to a specific document in the vector store,assistants-api,2024-05-20 04:57:07.366000+00:00,2025-01-25 09:50:48.694000+00:00,609,6,4,refer specific document vector store want make quotation example quotation document customer wrote explaining want buy want use technique using make assistant upload file make vectorstore connect assistant want get answer using using thread message run make prompt answer question customer want referncing example quotation reference knowledge style referencing user document getting question right,10,3
715648,Generate multiple-choice questions MCQ tests,gpt-4,2024-04-12 08:02:16.456000+00:00,2025-01-21 13:03:56.829000+00:00,11171,9,5,generate multiplechoice question mcq test dear trying generate mcq list subject test question answer one correct prompt generate good question correct_answer problem incorrect_answers obviously wrong mostly shorter length much simpler answer question already tried many different approach prompt asking generate similar length format etc success anybody issue idea work around issue best,19,3
692624,GPT4 can’t query excel files (2024-03-21),gpt4,2024-03-21 11:44:42.429000+00:00,2025-01-21 14:04:18.117000+00:00,5855,23,5,cant query excel file hey everyone since morning hasnt able process xlsx file sent keep getting message seems facing technical issue thats preventing analyzing excel file uploaded might due specific file format data thats easily processed tool available anyone else run something like,10,3
1094268,Levearging the Projects' files resource to have a docs reference,"chatgpt, assistants-files",2025-01-17 21:24:09.254000+00:00,2025-01-17 21:24:09.332000+00:00,60,1,1,levearging project file resource doc reference hi new project feature add doc python package let say opencv file resource project whats ideal way way download entire documentation webpage pdf text file thanks,17,3
1092990,What is the simplest way to ask the chat to summarize an article?,chatgpt,2025-01-16 16:56:47.690000+00:00,2025-01-16 19:07:24.054000+00:00,191,2,2,simplest way ask chat summarize article want use ask chat summarize article pdf file give chat url pdf upload using dont know make curl call ask chat summarize particular pdf file,17,3
1083133,"How can I get ChatGPT to proactively tell me when an answer is mainly speculation or an educated guess, rather than one from an official source?",chatgpt,2025-01-07 12:52:40.348000+00:00,2025-01-13 19:02:28.210000+00:00,1382,13,5,get proactively tell answer mainly speculation educated guess rather one official source tldr sometimes give answer based speculation educated guess rather official source thats fine many case need explicitly tell anyone know get without ask every time effort failed hi big fan use much one small issue run ask howto question specific product eg specific piece software use play music softwarea confident specific step must take step wont accomplish want ask know step pertain softwarea admit doesntits answer simply educated guess based know similar piece software glad giving info case result lot wasted time end anyone know start answer telling answer speculation educated guess rather information official source tried telling specifically asked preface every answer speculationeducated guess official source said would immediately tested answer prefaced official source even later admitted speculation clear asking list source asking get proactively tell whether answer official source answer speculationeducated guess,19,3
1087194,Issues with document analysis despite having a Plus subscription,"chatgpt, gpt-4, api",2025-01-10 20:35:48.798000+00:00,2025-01-12 00:53:08.722000+00:00,196,8,5,issue document analysis despite plus subscription hello plus subscription understand access feature uploading document analysis however try upload document analysis doesnt seem able see process followed necessary step uploading document every time try interact receive corresponding response could please help understand technical issue setting need enable order use feature thank advance assistance,10,3
1085811,Reconfirming questions before answering,gpt-4,2025-01-09 17:47:32.626000+00:00,2025-01-09 18:06:07.725000+00:00,97,2,2,reconfirming question answering hello everyone happy new year plus subscriber new forum observed answer question required probably due unclear question time tell answered question itll reply perfectly right way reconfirm question answering trainer add answering mode,19,3
1060758,How to tackle similar section names in RAG?,azure,2024-12-18 13:17:02.460000+00:00,2024-12-18 14:47:10.936000+00:00,101,2,2,tackle similar section name rag hello everyone working retrievalaugmented generation rag use case involving document like hr policy application performs well distinct data pdf file facing two major challenge handling similar section name example state different pto policy section name document eg pto policy querying vector database specific state pto policy retrieved topk document often contain information state making difficult fetch accurate result address issue ensure retrieval process contextually accurate handling large section topic like specific policy span section several page long querying get first section remaining section often excluded attempted resolve increasing number topk document retrieved led inaccurate result due inclusion irrelevant information technical detail implementation use recursivecharactertextsplitter split document chunk chunk size overlap embedding model use azure large model would best strategy technique address challenge suggestion insight greatly appreciated,17,3
